# composition,0.64NaCl-0.36UCl3
# source,Andersson, 2022
# temperature_K,1250
# raw_file,0.64NaCl-0.36UCl3_Andersson_2022_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,Na-Cl,Na-Na,Na-U,U-Cl,U-U
0.7232755944742372,0.0,0.0,0.0,0.0,0.0,0.0
0.7267362432516258,0.0,0.0,0.0,0.0,0.0,0.0
0.7301968920290145,0.0,0.0,0.0,0.0,0.0,0.0
0.7336575408064032,0.0,0.0,0.0,0.0,0.0,0.0
0.7371181895837919,0.0,0.0,0.0,0.0,0.0,0.0
0.7405788383611807,0.0,0.0,0.0,0.0,0.0,0.0
0.7440394871385693,0.0,0.0,0.0,0.0,0.0,0.0
0.747500135915958,0.0,0.0,0.0,0.0,0.0,0.0
0.7509607846933467,0.0,0.0,0.0,0.0,0.0,0.0
0.7544214334707354,0.0,0.0,0.0,0.0,0.0,0.0
0.757882082248124,0.0,0.0,0.0,0.0,0.0,0.0
0.7613427310255128,0.0,0.0,0.0,0.0,0.0,0.0
0.7648033798029015,0.0,0.0,0.0,0.0,0.0,0.0
0.7682640285802902,0.0,0.0,0.0,0.0,0.0,0.0
0.7717246773576788,0.0,0.0,0.0,0.0,0.0,0.0
0.7751853261350675,0.0,0.0,0.0,0.0,0.0,0.0
0.7786459749124562,0.0,0.0,0.0,0.0,0.0,0.0
0.782106623689845,0.0,0.0,0.0,0.0,0.0,0.0
0.7855672724672337,0.0,0.0,0.0,0.0,0.0,0.0
0.7890279212446223,0.0,0.0,0.0,0.0,0.0,0.0
0.792488570022011,0.0,0.0,0.0,0.0,0.0,0.0
0.7959492187993997,0.0,0.0,0.0,0.0,0.0,0.0
0.7994098675767884,0.0,0.0,0.0,0.0,0.0,0.0
0.802870516354177,0.0,0.0,0.0,0.0,0.0,0.0
0.8063311651315658,0.0,0.0,0.0,0.0,0.0,0.0
0.8097918139089545,0.0,0.0,0.0,0.0,0.0,0.0
0.8132524626863432,0.0,0.0,0.0,0.0,0.0,0.0
0.8167131114637319,0.0,0.0,0.0,0.0,0.0,0.0
0.8201737602411205,0.0,0.0,0.0,0.0,0.0,0.0
0.8236344090185093,0.0,0.0,0.0,0.0,0.0,0.0
0.827095057795898,0.0,0.0,0.0,0.0,0.0,0.0
0.8305557065732867,0.0,0.0,0.0,0.0,0.0,0.0
0.8340163553506753,0.0,0.0,0.0,0.0,0.0,0.0
0.837477004128064,0.0,0.0,0.0,0.0,0.0,0.0
0.8409376529054527,0.0,0.0,0.0,0.0,0.0,0.0
0.8443983016828415,0.0,0.0,0.0,0.0,0.0,0.0
0.8478589504602301,0.0,0.0,0.0,0.0,0.0,0.0
0.8513195992376188,0.0,0.0,0.0,0.0,0.0,0.0
0.8547802480150075,0.0,0.0,0.0,0.0,0.0,0.0
