# composition,1.0NaF
# source,Walz, 2019
# temperature_K,1266
# raw_file,NaF_Walz_2019_1266.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,Na-F,Na-Na
2.547895121874733,0.36481632637173345,1.584569089348403,0.3164270724267073
2.5542648596794195,0.3729842807412198,1.5580060260005566,0.328243434295853
2.5606345974841065,0.38115223511070667,1.5314429626527084,0.3400597961649996
2.5670043352887935,0.3893201894801936,1.50388700159109,0.3551879379680159
2.5733740730934804,0.39748814384968045,1.4760175131325177,0.371361840807187
2.579743810898167,0.4056560982191668,1.4481480246739478,0.3875357436463569
2.586113548702854,0.41382405258865373,1.4202785362153758,0.403709646485528
2.592483286507541,0.4219920069581406,1.3951105018987133,0.419883549324699
2.5988530243122274,0.43015996132762696,1.3706270260566058,0.43605745216386893
2.6052227621169144,0.43889143580457457,1.3461435502144967,0.45250741144167295
2.6115924999216014,0.45066311013941873,1.3216600743723876,0.4704466995551152
2.617962237726288,0.46243478447426206,1.2990552954031422,0.4883859876685563
2.624331975530975,0.4742064588091062,1.276820022269938,0.5063252757819986
2.630701713335662,0.4859781331439504,1.254584749136734,0.5242645638954408
2.6370714511403484,0.4977498074787937,1.2323494760035312,0.5422038520088819
2.6434411889450353,0.5095214818136379,1.2119701536767804,0.5601431401223242
2.6498109267497223,0.521293156148482,1.1918597062745546,0.5729373362412612
2.6561806645544093,0.5332313283938791,1.1717492588723286,0.5815681554815636
2.662550402359096,0.5457206522804345,1.1516388114701042,0.5901989747218653
2.6689201401637828,0.5582099761669909,1.1325933312451506,0.5988297939621677
2.6752898779684697,0.5706993000535472,1.1136515379949632,0.6074606132024701
2.6816596157731563,0.5831886239401026,1.094709744744777,0.6160914324427719
2.6880293535778432,0.595677947826659,1.0757679514945895,0.6247222516830743
2.69439909138253,0.6081672717132153,1.0568261582444018,0.6333530709233766
2.7007688291872167,0.6206565955997707,1.0389351264773736,0.6419838901636784
2.7071385669919037,0.634370452246711,1.0216655482298775,0.6506147094039808
2.7135083047965907,0.6508402207860872,1.0043959699823812,0.6592455286442831
2.719878042601277,0.6673099893254621,0.9871263917348863,0.6678763478845849
2.726247780405964,0.6837797578648384,0.96985681348739,0.6765071671248873
2.732617518210651,0.7002495264042146,0.9525872352398937,0.6851379863651896
2.7389872560153377,0.7167192949435897,0.9353176569923988,0.6937688056054915
2.7453569938200246,0.7331890634829659,0.9180480787449026,0.716228506987191
2.7517267316247116,0.7505467578245317,0.9062315774155827,0.7443001368950869
2.7580964694293986,0.7682777886181199,0.8967078717052395,0.7723717668029828
2.764466207234085,0.7860088194117067,0.8871841659948969,0.8004433967108767
2.770835945038772,0.8037398502052949,0.8776604602845537,0.8285150266187726
2.777205682843459,0.8214708809988831,0.8681367545742105,0.8518296640394192
2.7835754206481456,0.8392019117924701,0.8586130488638679,0.8734886463247158
2.7899451584528325,0.8569294234599365,0.8490893431535247,0.8951476286100138
2.7963148962575195,0.8746253886473345,0.8395656374431815,0.9168066108953119
2.802684634062206,0.8923213538347314,0.8300419317328389,0.9384655931806085
2.809054371866893,0.9100173190221296,0.8205182260224957,0.9601245754659066
2.81542410967158,0.9277132842095276,0.8109945203121525,0.9824124955695839
2.8217938474762665,0.9454092493969245,0.8014708146018099,1.0086232362778689
2.8281635852809535,0.9631052145843226,0.7919471088914667,1.0348339769861559
2.8345333230856404,0.980833999473642,0.7824234031811235,1.0610447176944426
2.840903060890327,0.9985960376457218,0.7728395291244755,1.0872554584027276
2.847272798695014,1.0163580758178028,0.7629739404079553,1.1134661991110146
2.853642536499701,1.0341201139898837,0.7531083516914352,1.131943842078188
2.860012274304388,1.0518821521619646,0.7432427629749151,1.1491128069660956
2.8663820121090744,1.0696441903340443,0.7333771742583957,1.1662817718540022
2.8727517499137614,1.0890144513046787,0.7235115855418754,1.1834507367419098
2.8791214877184483,1.11160131996079,0.7136459968253553,1.2006197016298175
2.885491225523135,1.1341881886168996,0.7037804081088359,1.217788666517724
2.891860963327822,1.1567750572730109,0.6939148193923157,1.2349576314056316
2.898230701132509,1.1793619259291221,0.6840492306757956,1.2502885658656726
2.9046004389371953,1.1912845211267082,0.6741836419592762,1.2634547380187557
2.9109701767418823,1.202415464415664,0.6643180532427561,1.27662091017184
2.9173399145465693,1.2135464077046196,0.6557698959690438,1.2897870823249242
2.923709652351256,1.2246773509935747,0.6504559622934483,1.3029532544780074
2.9300793901559428,1.2358082942825304,0.6451420286178524,1.3161194266310916
2.9364491279606297,1.246939237571486,0.6398280949422566,1.3292855987841758
2.9428188657653167,1.2580701808604418,0.6345141612666607,1.3424517709372599
2.9491886035700032,1.2691888668325857,0.6292002275910653,1.3556074661305602
2.95555834137469,1.2784423171691952,0.6238862939154695,1.3671688483889333
2.961928079179377,1.287695767505805,0.6185723602398736,1.3787302306473066
2.9682978169840637,1.2969492178424138,0.6132584265642781,1.3902916129056788
2.9746675547887507,1.3062026681790235,0.6079444928886822,1.401852995164052
2.9810372925934376,1.315456118515633,0.6026305592130864,1.4134143774224253
2.987407030398124,1.324709568852242,0.5973166255374909,1.4249757596807975
2.993776768202811,1.3339630191888516,0.592002691861895,1.4365371419391706
3.000146506007498,1.3429626878533003,0.5866887581862992,1.4477554467432696
3.0065162438121846,1.349127313966935,0.5813748245107038,1.455141169104317
3.0128859816168716,1.35529194008057,0.5773079334281797,1.4625268914653649
3.0192557194215586,1.3614565661942053,0.5736317564377023,1.469912613826413
3.025625457226245,1.3676211923078399,0.5699555794472252,1.4772983361874603
3.031995195030932,1.373785818421475,0.5662794024567479,1.4846840585485082
3.038364932835619,1.37995044453511,0.5626032254662706,1.492069780909556
3.044734670640306,1.3861150706487453,0.5589270484757933,1.4994555032706038
3.0511044084449925,1.3922796967623798,0.5552508714853163,1.5068412256316512
3.0574741462496795,1.398444322876015,0.551574694494839,1.514226947992699
3.0638438840543665,1.4022367551523933,0.5478985175043617,1.5182228669709994
3.070213621859053,1.405567442675165,0.5442223405138846,1.521558964688845
3.07658335966374,1.408898130197937,0.5405461635234073,1.5248950624066908
3.082953097468427,1.412228817720709,0.53686998653293,1.5282311601245364
3.0893228352731135,1.4155595052434806,0.533193809542453,1.531567257842382
3.0956925730778004,1.4188901927662525,0.5295176325519756,1.5349033555602278
3.1020623108824874,1.4222208802890246,0.5258414555614983,1.5382394532780737
3.108432048687174,1.4255515678117963,0.5221652785710212,1.541575550995919
3.114801786491861,1.4288822553345681,0.5197055119523363,1.5449116487137649
3.121171524296548,1.43221294285734,0.5173620971109689,1.5482477464316107
3.127541262101235,1.4355436303801121,0.5150186822696016,1.5515838441494565
3.1339109999059214,1.4388743179028838,0.5126752674282344,1.5549199418673019
3.1402807377106083,1.4399891773889304,0.5103318525868671,1.5555616254848876
3.1466504755152953,1.4409886783837444,0.5079884377454997,1.5560630348843438
3.153020213319982,1.4419881793785587,0.5056450229041325,1.5565644442838
3.159389951124669,1.4429876803733728,0.5033016080627651,1.5570658536832562
3.1657596889293558,1.443987181368187,0.5009581932213978,1.5575672630827124
3.1721294267340423,1.4449866823630013,0.49861477838003065,1.5580686724821686
3.1784991645387293,1.4459861833578154,0.4962713635386633,1.5585700818816248
3.1848689023434162,1.4469856843526296,0.49392794869729595,1.559071491281081
3.1912386401481028,1.447985185347444,0.49158453385592876,1.5595729006805372
3.1976083779527897,1.448984686342258,0.4892411190145614,1.5600743100799934
3.2039781157574767,1.4499841873370722,0.48743248118983384,1.5605757194794498
3.2103478535621632,1.4509836883318865,0.48647920949712703,1.561077128878906
3.21671759136685,1.4519831893267006,0.4855259378044202,1.5615785382783622
3.223087329171537,1.4529826903215148,0.48457266611171335,1.5620799476778184
3.229457066976224,1.453982191316329,0.48361939441900653,1.5625813570772746
3.2358268047809107,1.4549816923111432,0.4826661227262998,1.5630827664767308
3.2421965425855976,1.4559811933059574,0.4817128510335929,1.563584175876187
