# composition,1.0KF
# source,Walz, 2019
# temperature_K,1131
# raw_file,KF_Walz_2019_1131.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,K-F,K-K
2.5411436753521754,0.10670169275580955,3.87302706000316,0.0
2.548595709590745,0.10852577478757836,3.8317806998105084,0.0
2.5560477438293145,0.11034985681934717,3.7905343396178566,0.0
2.5634997780678836,0.11217393885111587,3.7492879794252074,0.0
2.570951812306453,0.11399802088288469,3.7084478194013357,0.0
2.5784038465450227,0.1158221029146535,3.6760592220459576,0.0
2.585855880783592,0.1176461849464222,3.6436706246905817,0.0
2.5933079150221614,0.11947026697819102,3.611282027335204,0.0
2.600759949260731,0.12129434900995983,3.5788934299798263,0.0
2.6082119834993005,0.12311843104172863,3.5465048326244486,0.0
2.6156640177378696,0.12494251307349734,3.4894866609913184,7.9085581269905e-06
2.623116051976439,0.12676659510526617,3.3439292927733852,4.0029744171876315e-05
2.6305680862150087,0.12859067713703495,3.2931829056274626,7.215093021676213e-05
2.6380201204535783,0.13041475916880377,3.24243651848154,0.00010427211626164794
2.6454721546921474,0.13306266013575538,3.2012525101073543,0.00013639330230653184
2.652924188930717,0.1359774919978246,3.1631668698526423,0.00016851448835141763
2.6603762231692865,0.13889232385989383,3.1212665999321296,0.00020063567439630346
2.667828257407856,0.14180715572196306,3.051722932573366,0.0021475333483891605
2.675280291646425,0.1447219875840321,2.982945222229053,0.007373187944509284
2.6827323258849947,0.14763681944610133,2.916595431983805,0.012598842540629719
2.690184360123564,0.15055165130817055,2.850245641738557,0.017824497136750155
2.6976363943621333,0.15346648317023961,2.813487313767058,0.023050151732870276
2.705088428600703,0.15638131503230884,2.7772685772188295,0.02827580632899071
2.7125404628392724,0.15929614689437807,2.741049840670601,0.033501460925111144
2.719992497077842,0.1622109787564473,2.7048311041223725,0.03872711552123158
2.727444531316411,0.16512581061851633,2.653490568094343,0.04395277011735171
2.7348965655549806,0.16804064248058556,2.5993321103338056,0.04917842471347214
2.74234859979355,0.1709554743426548,2.545526007134001,0.054404079309592575
2.7498006340321197,0.17387030620472402,2.493054214304605,0.05962973390571301
2.757252668270689,0.17678513806679308,2.440582421475212,0.06485538850183313
2.7647047025092584,0.1796999699288623,2.3830783188649547,0.07008104309795357
2.772156736747828,0.18261480179093154,2.326389639182691,0.075306697694074
2.779608770986397,0.18700712916142184,2.2840239951696044,0.08053235229019412
2.7870608052249666,0.19205260901375726,2.2416583511565156,0.08575800688631456
2.794512839463536,0.19709808886609267,2.199828211689643,0.09098366148243499
2.8019648737021057,0.2021435687184281,2.1664729092823642,0.09620931607855543
2.809416907940675,0.2071890485707632,2.133117606875088,0.10143497067467555
2.8168689421792443,0.21223452842309862,2.0997623044678098,0.10666062527079599
2.824320976417814,0.21728000827543403,2.066407002060531,0.11188627986691642
2.8317730106563834,0.22232548812776945,2.017387639406167,0.11711193446303686
2.8392250448949525,0.22737096798010456,1.9670110528721017,0.12233758905915698
2.846677079133522,0.23241644783243998,1.9197222668960565,0.1275632436552774
2.8541291133720916,0.23746192768477536,1.880132890541264,0.13278889825139786
2.8615811476106607,0.24250740753711048,1.8405435141864739,0.13708188565980475
2.8690331818492303,0.2481247863371115,1.8026965038152978,0.14111348790549008
2.8764852160878,0.2552428019267949,1.7694213824234215,0.14514509015117544
2.8839372503263694,0.2623608175164783,1.7361462610315455,0.14917669239686077
2.8913892845649385,0.2694788331061613,1.7021682715143085,0.15320829464254587
2.898841318803508,0.27659684869584467,1.6662471766141635,0.1572398968882312
2.9062933530420776,0.28371486428552806,1.6303260817140184,0.16127149913391653
2.913745387280647,0.29083287987521145,1.599835143425873,0.16530310137960186
2.9211974215192162,0.29795089546489445,1.5725112351771782,0.16933470362528696
2.928649455757786,0.30506891105457784,1.5451873269284815,0.1733663058709723
2.9361014899963553,0.31218692664426123,1.5139657639063868,0.17739790811665765
2.943553524234925,0.319677240237112,1.4707348331020813,0.18142951036234298
2.951005558473494,0.3300002177305161,1.4275039022977782,0.18546111260802806
2.9584575927120635,0.34032319522392074,1.4046771349998242,0.1894927148537134
2.965909626950633,0.35064617271732546,1.3821128609154136,0.19352431709939874
2.973361661189202,0.3609691502107295,1.3595485868310044,0.20025065319738558
2.9808136954277717,0.3712921277041341,1.336984312746594,0.2079758467508831
2.9882657296663413,0.38161510519753883,1.3142813186412712,0.21570104030438061
2.995717763904911,0.39193808269094343,1.2914230475003863,0.22342623385787813
3.00316979814348,0.40287913663019026,1.2685647763595027,0.23115142741137518
3.0106218323820495,0.41608879834437634,1.2457065052186178,0.2388766209648727
3.018073866620619,0.4292984600585624,1.222848234077733,0.2466018145183702
3.0255259008591886,0.44250812177274856,1.2051699582427107,0.2543270080718677
3.0329779350977577,0.4557177834869338,1.1877279146922393,0.26205220162536474
3.0404299693363273,0.46892744520111995,1.1702858711417667,0.27252997356465225
3.047882003574897,0.48213710691530604,1.1528438275912944,0.2841949877574581
3.055334037813466,0.49589706719818655,1.135401784040823,0.29586000195026335
3.0627860720520355,0.5103547775810054,1.117225299353922,0.3075250161430692
3.070238106290605,0.5248124879638244,1.0974297520942182,0.3191900303358751
3.0776901405291746,0.5392701983466434,1.0776342048345142,0.33085504452868103
3.0851421747677437,0.5537279087294614,1.0578386575748115,0.3425200587214862
3.092594209006313,0.5681856191122804,1.0380431103151078,0.3577968921759271
3.1000462432448828,0.5826433294950993,1.0182475630554038,0.37336459288993196
3.1074982774834523,0.5981696624403452,0.9991188962530961,0.38893229360393683
3.1149503117220214,0.6142277267320011,0.9803220596553672,0.40449999431794076
3.122402345960591,0.6302857910236579,0.9615252230576372,0.42006769503194563
3.1298543801991605,0.6463438553153148,0.9427283864599072,0.4373685782053125
3.13730641443773,0.6624019196069716,0.9239315498621771,0.45910092981894357
3.144758448676299,0.6784599838986275,0.9051347132644482,0.48083328143257337
3.1522104829148687,0.6945180481902844,0.8863378766667181,0.5025656330462045
3.1596625171534383,0.7115766935783285,0.8772292555909621,0.5242979846598356
3.1671145513920074,0.7287532809220371,0.8692626179982996,0.5438191893417896
3.174566585630577,0.7459298682657466,0.8612959804056368,0.5626637625220525
