# composition,1.0LiF
# source,Walz, 2019
# temperature_K,1121
# raw_file,LiF_Walz_2019_1121.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,Li-F,Li-Li
2.040092281825913,0.19241675905571862,2.827655791828258,0.10384508835740794
2.0452310533166584,0.1957089851856338,2.7242576819309483,0.10605873516392542
2.0503698248074036,0.19900121131554868,2.6208595720336474,0.10827238197044271
2.055508596298149,0.20229343744546385,2.5174614621363376,0.1104860287769602
2.0606473677888943,0.20558566357537872,2.467458383021553,0.1126996755834775
2.06578613927964,0.20887788970529392,2.435166046185203,0.11491332238999499
2.070924910770385,0.21217011583520878,2.402873709348856,0.11712696919651228
2.0760636822611307,0.21546234196512395,2.3705813725125062,0.11934061600302978
2.081202453751876,0.21875456809503885,2.3382890356761594,0.12155426280954706
2.0863412252426214,0.22204679422495402,2.30599669883981,0.12376790961606456
2.0914799967333666,0.2253390203548689,2.273704362003463,0.12631879089183495
2.096618768224112,0.22863124648478406,2.2414120251671132,0.1317967018926827
2.1017575397148573,0.23192347261469895,2.2091196883307664,0.13727461289352996
2.106896311205603,0.23521569874461412,2.1768273514944165,0.1427525238943777
2.112035082696348,0.238507924874529,2.145396578467625,0.14823043489522494
2.1171738541870937,0.24386455728251222,2.1142095126946856,0.15370834589607268
2.122312625677839,0.2502307876406958,2.083022446921749,0.15918625689691995
2.1274513971685844,0.2565970179988799,2.05183538114881,0.16466416789776767
2.1325901686593296,0.2629632483570635,2.0206483153758734,0.17014207889861493
2.137728940150075,0.2693294787152476,1.9894612496029342,0.17561998989946268
2.1428677116408203,0.2756957090734312,1.9582741838299977,0.18109790090030992
2.148006483131566,0.28206193943161534,1.9270871180570583,0.18657581190115766
2.153145254622311,0.2884281697897989,1.8959000522841218,0.19205372290200493
2.1582840261130567,0.294794400147983,1.8647129865111824,0.19753163390285267
2.163422797603802,0.3011606305061666,1.8336003501508127,0.21031281464635357
2.1685615690945474,0.3075268608643507,1.8025053902882837,0.22482847410472395
2.1737003405852926,0.3138930912225343,1.7714104304257574,0.2393441335630931
2.178839112076038,0.3244106105715829,1.7403154705632282,0.2538597930214635
2.1839778835667834,0.3393489499792801,1.709220510700702,0.26837545247983263
2.189116655057529,0.3542872893869787,1.678125550838173,0.282891111938203
2.194255426548274,0.3692256287946759,1.6470305909756466,0.2953812525974443
2.1993941980390193,0.3841639682023732,1.6159356311131203,0.30602128734963235
2.204532969529765,0.3991023076100717,1.5848406712505914,0.3166613221018213
2.20967174102051,0.414040647017769,1.553745711388065,0.32730135685400935
2.2148105125112556,0.42643688314937706,1.5301719891762655,0.3379413916061983
2.2199492840020008,0.43833684836021664,1.5080665674734777,0.34858142635838635
2.2250880554927464,0.45023681357105727,1.4859611457706878,0.3592214611105753
2.2302268269834915,0.46213677878189685,1.4638557240678998,0.36986149586276335
2.235365598474237,0.47403674399273743,1.44175030236511,0.3805015306149523
