# composition,1.0KCl
# source,Walz, 2019
# temperature_K,1043
# raw_file,KCl_Walz_2019_1043.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K
3.0452527774787392,0.13753321555040485,4.048843281564794,0.11061080279173288
3.052698383291646,0.1394656009270494,4.040689918013627,0.11261732994805523
3.060143989104552,0.14139798630369388,4.03253655446246,0.11462385710437747
3.0675895949174588,0.14333037168033846,4.024383190911293,0.11663038426069983
3.075035200730365,0.1452627570569829,4.016229827360126,0.11863691141702207
3.0824808065432716,0.1471951424336275,3.9808487414976135,0.12064343857334442
3.0899264123561783,0.14912752781027208,3.911863920436691,0.12264996572966677
3.0973720181690845,0.15105991318691653,3.8438790582710425,0.12465649288598901
3.104817623981991,0.1529922985635611,3.7813875737750444,0.12666302004231136
3.1122632297948973,0.1549246839402056,3.71889608927905,0.1286695471986336
3.119708835607804,0.15685706931685017,3.6704413530657005,0.13067607435495596
3.12715444142071,0.15878945469349462,3.6373070533146605,0.1338283492539298
3.134600047233617,0.1607218400701392,3.6041727535636188,0.1373033185581017
3.142045653046523,0.16319578625630274,3.564626726787888,0.14077828786227342
3.1494912588594297,0.16641757137035398,3.5162267745068907,0.14425325716644533
3.1569368646723364,0.16963935648440526,3.461647557405868,0.14772822647061723
3.1643824704852426,0.1728611415984563,3.364366786626717,0.1512031957747889
3.1718280762981492,0.17608292671250758,3.3221476317787912,0.15467816507896082
3.1792736821110554,0.17930471182655866,3.2810741249170174,0.15815313438313253
3.186719287923962,0.1825264969406099,3.241368450905716,0.16162810368730443
3.1941648937368683,0.18574828205466098,3.2047980015735873,0.1651030729914761
3.201610499549775,0.18897006716871223,3.168227552241457,0.16857804229564802
3.209056105362681,0.1921918522827633,3.114303828480273,0.17205301159981973
3.216501711175588,0.19541363739681455,3.0141013054464327,0.17552798090399163
3.223947316988494,0.19863542251086563,2.977872022604697,0.17905746027469852
3.2313929228014007,0.2018572076249169,2.941642739762959,0.18407500362129214
3.2388385286143073,0.20507899273896815,2.905413456921221,0.18909254696788574
3.2462841344272135,0.20830077785301923,2.859130099127356,0.19411009031447907
3.25372974024012,0.2115225629670705,2.8076312675849464,0.1991276336610727
3.2611753460530264,0.21543743897529774,2.756519863479225,0.20414517700766602
3.268620951865933,0.2205589127645124,2.706082929474501,0.20916272035425962
3.2760665576788393,0.22568038655372674,2.6557611509546097,0.21418026370085294
3.283512163491746,0.23080186034294137,2.6069404456609604,0.21919780704744657
3.290957769304652,0.23592333413215572,2.558119740367314,0.2242153503940399
3.2984033751175588,0.24104480792137037,2.513890228282773,0.2292328937406335
3.3058489809304654,0.24616628171058502,2.4709734222172317,0.23435937208430693
3.3132945867433716,0.25128775549979937,2.4270253377660866,0.24214112175174524
3.3207401925562783,0.256409229289014,2.381978052265418,0.249922871419184
3.3281857983691845,0.26153070307822834,2.336157367748894,0.2577046210866223
3.335631404182091,0.266652176867443,2.2870494818417324,0.26548637075406106
3.3430770099949974,0.2717736506566574,2.2379415959345734,0.2732681204214994
3.350522615807904,0.2780018795790682,2.202308868760904,0.2810498700889381
3.35796822162081,0.28435737417387913,2.16822564886801,0.28883161975637645
3.365413827433717,0.2907128687686904,2.134142428975114,0.2966133694238152
3.3728594332466235,0.29706836336350173,2.100331553618333,0.3051735344146878
3.3803050390595297,0.30342385795831267,2.0668449570410137,0.3139375571255175
3.3877506448724364,0.309779352553124,2.0333583604636924,0.32270157983634784
3.3951962506853426,0.3161348471479349,1.999635335744738,0.3314656025471776
