# composition,0.4903NaCl-0.5097CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.4903NaCl-0.5097CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Ca-Na,Cl-Cl,Na-Cl,Na-Na
1.0346519793396698,0.0,0.0,0.0,0.0,0.0,0.0
1.0420955187593797,0.0,0.0,0.0,0.0,0.0,0.0
1.0495390581790895,0.0,0.0,0.0,0.0,0.0,0.0
1.0569825975987994,0.0,0.0,0.0,0.0,0.0,0.0
1.0644261370185093,0.0,0.0,0.0,0.0,0.0,0.0
1.0718696764382192,0.0,0.0,0.0,0.0,0.0,0.0
1.079313215857929,0.0,0.0,0.0,0.0,0.0,0.0
1.086756755277639,0.0,0.0,0.0,0.0,0.0,0.0
1.0942002946973488,0.0,0.0,0.0,0.0,0.0,0.0
1.1016438341170587,0.0,0.0,0.0,0.0,0.0,0.0
1.1090873735367683,0.0,0.0,0.0,0.0,0.0,0.0
1.1165309129564782,0.0,0.0,0.0,0.0,0.0,0.0
1.123974452376188,0.0,0.0,0.0,0.0,0.0,0.0
1.131417991795898,0.0,0.0,0.0,0.0,0.0,0.0
1.1388615312156078,0.0,0.0,0.0,0.0,0.0,0.0
1.1463050706353177,0.0,0.0,0.0,0.0,0.0,0.0
1.1537486100550276,0.0,0.0,0.0,0.0,0.0,0.0
1.1611921494747375,0.0,0.0,0.0,0.0,0.0,0.0
1.1686356888944474,0.0,0.0,0.0,0.0,0.0,0.0
1.1760792283141572,0.0,0.0,0.0,0.0,0.0,0.0
1.1835227677338669,0.0,0.0,0.0,0.0,0.0,0.0
1.1909663071535768,0.0,0.0,0.0,0.0,0.0,0.0
1.1984098465732866,0.0,0.0,0.0,0.0,0.0,0.0
1.2058533859929965,0.0,0.0,0.0,0.0,0.0,0.0
1.2132969254127064,0.0,0.0,0.0,0.0,0.0,0.0
1.2207404648324163,0.0,0.0,0.0,0.0,0.0,0.0
1.2281840042521261,0.0,0.0,0.0,0.0,0.0,0.0
1.235627543671836,0.0,0.0,0.0,0.0,0.0,0.0
1.243071083091546,0.0,0.0,0.0,0.0,0.0,0.0
1.2505146225112558,0.0,0.0,0.0,0.0,0.0,0.0
1.2579581619309654,0.0,0.0,0.0,0.0,0.0,0.0
1.2654017013506753,0.0,0.0,0.0,0.0,0.0,0.0
1.2728452407703852,0.0,0.0,0.0,0.0,0.0,0.0
1.280288780190095,0.0,0.0,0.0,0.0,0.0,0.0
1.287732319609805,0.0,0.0,0.0,0.0,0.0,0.0
1.2951758590295148,0.0,0.0,0.0,0.0,0.0,0.0
1.3026193984492247,0.0,0.0,0.0,0.0,0.0,0.0
1.3100629378689346,0.0,0.0,0.0,0.0,0.0,0.0
1.3175064772886445,0.0,0.0,0.0,0.0,0.0,0.0
1.3249500167083543,0.0,0.0,0.0,0.0,0.0,0.0
1.3323935561280642,0.0,0.0,0.0,0.0,0.0,0.0
1.3398370955477739,0.0,0.0,0.0,0.0,0.0,0.0
1.3472806349674837,0.0,0.0,0.0,0.0,0.0,0.0
1.3547241743871936,0.0,0.0,0.0,0.0,0.0,0.0
1.3621677138069035,0.0,0.0,0.0,0.0,0.0,0.0
1.3696112532266134,0.0,0.0,0.0,0.0,0.0,0.0
1.3770547926463232,0.0,0.0,0.0,0.0,0.0,0.0
1.3844983320660331,0.0,0.0,0.0,0.0,0.0,0.0
1.391941871485743,0.0,0.0,0.0,0.0,0.0,0.0
1.3993854109054529,0.0,0.0,0.0,0.0,0.0,0.0
1.4068289503251628,0.0,0.0,0.0,0.0,0.0,0.0
1.4142724897448724,0.0,0.0,0.0,0.0,0.0,0.0
1.4217160291645823,0.0,0.0,0.0,0.0,0.0,0.0
1.4291595685842922,0.0,0.0,0.0,0.0,0.0,0.0
1.436603108004002,0.0,0.0,0.0,0.0,0.0,0.0
1.444046647423712,0.0,0.0,0.0,0.0,0.0,0.0
1.4514901868434218,0.0,0.0,0.0,0.0,0.0,0.0
1.4589337262631317,0.0,0.0,0.0,0.0,0.0,0.0
1.4663772656828415,0.0,0.0,0.0,0.0,0.0,0.0
1.4738208051025514,0.0,0.0,0.0,0.0,0.0,0.0
1.4812643445222613,0.0,0.0,0.0,0.0,0.0,0.0
1.488707883941971,0.0,0.0,0.0,0.0,0.0,0.0
1.4961514233616808,0.0,0.0,0.0,0.0,0.0,0.0
1.5035949627813907,0.0,0.0,0.0,0.0,0.0,0.0
