# composition,1.0UCl3
# source,Okamoto, 2005
# temperature_K,1200
# raw_file,UCl3_Okamoto_2005_1200.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,U-Cl,U-U
2.9000793263831914,0.20154380764790147,4.9842571165703555,0.0
2.9074586630915458,0.2130827716483291,4.884194721556991,0.0
2.9148379997998997,0.224621735648756,4.773585128998152,0.0
2.922217336508254,0.25215405883252956,4.653632554629268,0.0
2.9295966732166083,0.2806517737538106,4.547756393746923,0.0
2.936976009924962,0.30914948867508996,4.455180879441272,0.0
2.9443553466333166,0.337647203596371,4.362605365135616,0.0
2.951734683341671,0.3661449185176521,4.165688357551366,0.0
2.9591140200500248,0.3922517037538118,4.028356578882785,0.0
2.966493356758379,0.41578858720095524,3.911461111455906,0.0
2.9738726934667334,0.4393254706480987,3.8131631041795186,0.0
2.9812520301750873,0.4628623540952407,3.720936863905141,0.0
2.9886313668834417,0.4863992375423841,3.6246420934209875,0.0
2.9960107035917956,0.5099361209895261,3.50726109655149,0.0
3.00339004030015,0.5334730044366696,3.392293744091571,0.0
3.010769377008504,0.557009887883813,3.291485812491531,0.0
3.018148713716858,0.5827172025100089,3.1906778808914975,0.0
3.0255280504252124,0.6141886729568978,3.11518221884713,0.0
3.032907387133567,0.6456601434037867,3.0601052696851765,0.0
3.0402867238419207,0.6771316138506737,3.0050283205232264,0.0
3.047666060550275,0.7086030842975626,2.949951371361273,0.0
3.0550453972586293,0.7400745547444515,2.8714466075243643,0.0
3.0624247339669832,0.7715460251913384,2.6399712061157934,0.0
3.0698040706753376,0.8051832618002506,2.555451382546501,0.0
3.077183407383692,0.8466270035419026,2.4709315589772083,0.0
3.084562744092046,0.888070745283552,2.378354234997607,0.0
3.0919420808004,0.929514487025204,2.283465798541859,0.0
3.0993214175087545,0.9709582287668559,2.18859128416152,0.0
3.1067007542171083,1.0124019705085054,2.0937781135679066,0.0
3.1140800909254627,1.0510294252661376,1.9989649429742875,0.0
3.1214594276338166,1.0834718812445234,1.934619966158341,0.0
3.128838764342171,1.115914337222911,1.8912004902131845,0.0
3.1362181010505252,1.1483567932012988,1.847781014268028,0.0
3.143597437758879,1.1807992491796844,1.8043615383228742,0.0
3.1509767744672335,1.2132417051580722,1.7417533369977698,0.0
3.158356111175588,1.2456841611364597,1.6702829263434276,0.0
3.1657354478839417,1.2781266171148453,1.6236043529254056,0.0
3.173114784592296,1.3185179846288166,1.5819123609009758,0.0
3.1804941213006503,1.3657773053981108,1.540220368876546,0.0
3.1878734580090042,1.4130366261674019,1.4985283768521187,0.0
3.1952527947173586,1.460295946936696,1.4597879473734292,0.0
3.202632131425713,1.5075552677059902,1.4212214701160477,0.0
3.210011468134067,1.5487040959970992,1.3826549928586687,0.0
3.217390804842421,1.5786144864980107,1.3440885156012874,0.0
3.2247701415507755,1.6085248769989222,1.3058686445284318,0.0
3.2321494782591293,1.638435267499832,1.2684006365639684,0.0
3.2395288149674837,1.6683456580007436,1.2309326285995026,0.0
3.2469081516758376,1.6982560485016531,1.1934646206350392,0.0
3.254287488384192,1.7281664390025648,1.1620754284602146,0.0
3.2616668250925462,1.7580127295812595,1.1344472169506583,0.0
3.2690461618009,1.7797417489762524,1.1068190054411036,0.0
3.2764254985092545,1.8014707683712463,1.0787104387890805,0.0
3.283804835217609,1.8231997877662403,1.049365117681693,0.0
3.2911841719259627,1.8449288071612329,1.0200197965743072,0.0
3.298563508634317,1.8666578265562268,0.9906744754669196,0.0
3.3059428453426714,1.8883868459512207,0.961329154359532,0.0
3.3133221820510252,1.9101158653462134,0.935975743272119,0.0
3.3207015187593796,1.9318448847412073,0.9113749017015622,0.0
3.328080855467734,1.9555861909160077,0.8867740601310056,0.0
3.335460192176088,1.982792431852923,0.8621732185604504,0.0
3.342839528884442,2.00999867278984,0.8375723769898937,0.0
3.3502188655927965,2.0372049137267565,0.812971535419337,0.0
3.3575982023011504,2.064411154663672,0.7883706938487818,0.0
3.3649775390095047,2.0916173956005886,0.7714733408461246,0.0
3.3723568757178586,2.1168065006159016,0.7593954783420024,0.0
3.379736212426213,2.1419551536678725,0.7473176158378794,0.0
3.3871155491345672,2.1671038067198434,0.7352397533337564,0.0
3.394494885842921,2.1863932352699837,0.723161890829634,0.0
3.4018742225512755,2.1911884030811017,0.7110840283255111,0.0
3.40925355925963,2.19598357089222,0.6990061658213881,0.0
3.4166328959679837,2.2007787387033377,0.6869283033172657,0.0
3.424012232676338,2.2055739065144557,0.6748504408131427,0.0
3.4313915693846924,2.2103690743255737,0.6627725783090197,0.0
3.4387709060930463,2.2151642421366917,0.6506947158048975,0.0
3.4461502428014006,2.2199594099478097,0.6386168533007744,0.0
3.453529579509755,2.2247545777589277,0.6265389907966514,0.0
3.460908916218109,2.2269714416745936,0.6144611282925292,0.0
3.468288252926463,2.225243722793774,0.5995150295137376,0.0
3.475667589634817,2.223516003912955,0.579434658836894,0.0
3.4830469263431714,2.2217882850321353,0.5593542881600494,0.0009767619491255846
3.4904262630515257,2.220060566151316,0.5392739174832047,0.0021038580248537984
3.4978055997598796,2.2183328472704966,0.5191935468063612,0.0032309541005819445
3.505184936468234,2.2166051283896775,0.49911317612951656,0.004358050176310159
3.5125642731765883,2.214877409508858,0.47903280545267185,0.005485146252038373
3.519943609884942,2.210164765272302,0.4739501610104471,0.006612242327766519
3.5273229465932965,2.2039936875021247,0.4709498321551116,0.0077393384034947325
3.534702283301651,2.197822609731947,0.4679495032997761,0.008866434479222947
3.5420816200100047,2.19165153196177,0.4649491744444408,0.009993530554951092
3.549460956718359,2.1854804541915924,0.4619488455891053,0.011120626630679307
3.5568402934267134,2.179309376421415,0.4589485167337698,0.012247722706407522
3.5642196301350673,2.1731382986512378,0.4559481878784345,0.013374818782135667
3.5715989668434216,2.166401184296406,0.452947859023099,0.014501914857863882
3.578978303551776,2.1582567431443658,0.4499475301677635,0.015629010933592095
3.58635764026013,2.1501123019923263,0.44694720131242816,0.016756107009320242
3.593736976968484,2.141967860840286,0.4439468724570927,0.017883203085048455
3.601116313676838,2.133823419688246,0.44094654360175733,0.0190102991607766
3.6084956503851924,2.1256789785362056,0.43794621474642187,0.020137395236504815
3.6158749870935467,2.1175345373841656,0.43494588589108635,0.02126449131223303
3.6232543238019006,2.1093900962321257,0.43194555703575105,0.022391587387961175
3.630633660510255,2.1012456550800853,0.4289452281804156,0.02351868346368939
3.6380129972186093,2.090996626190238,0.42594489932508006,0.024645779539417604
