# composition,0.66LiF-0.34BeF2
# source,Fayfar, 2024
# temperature_K,973
# raw_file,0.66LiF-0.34BeF2_Fayfar_2024_973.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Be-Be,Be-F,Be-Li,F-F,Li-F,Li-Li
1.4971720512546274,0.0,9.029341511941631,0.0,0.0,0.06786658914970382,0.0
1.5021460447803903,0.0,9.396833871079558,0.0,0.0,0.08018842695640277,0.0
1.5071200383061532,0.0,9.697639634765613,0.0,0.0,0.0925102647631017,0.0
1.512094031831916,0.0,10.136591796566414,0.0,0.0,0.10483210256980065,0.0
1.517068025357679,0.0,10.32667665713896,0.0,0.0,0.1171539403764996,0.0
1.5220420188834418,0.0,10.62764955977205,0.0,0.0,0.12947577818319855,0.0
1.5270160124092047,0.0,10.775904105336728,0.0,0.0,0.13943879455825384,0.0
1.5319900059349676,0.0,10.969403932974949,0.0,0.0,0.14928946762545733,0.0
1.5369639994607305,0.0,11.128871696983177,0.0,0.0,0.15914014069266086,0.0
1.5419379929864934,0.0,11.156302921516955,0.0,0.0,0.16899081375986436,0.0
1.546911986512256,0.0,11.18040667499065,0.0,0.0,0.1788414868270674,0.0
1.551885980038019,0.0,11.152946528195958,0.0,0.0,0.18869215989427093,0.0
1.5568599735637818,0.0,11.125486381401267,0.0,0.0,0.19854283296147443,0.0
1.5618339670895447,0.0,11.098026234606573,0.0,0.0,0.20839350602867796,0.0
1.5668079606153076,0.0,11.070566087811882,0.0,0.0,0.21824417909588145,0.0
1.5717819541410705,0.0,10.848788936143235,0.0,0.0,0.22809485216308495,0.0
1.5767559476668334,0.0,10.657439241148959,0.0,0.0,0.23794552523028845,0.0
1.5817299411925962,0.0,10.470695803140936,0.0,0.0,0.2519377435432861,0.0
1.5867039347183591,0.0,10.265521451784004,0.0,0.0,0.29444072200528665,0.0
1.591677928244122,0.0,10.060347100427071,0.0,0.0,0.3369437004672873,0.0
1.596651921769885,0.0,9.737531203035477,0.0,0.0,0.37944667892928785,0.0
1.6016259152956478,0.0,9.392516714685016,0.0,0.0,0.4219496573912885,0.0
1.6065999088214107,0.0,9.045441938441451,0.0,0.0,0.47169876241190467,0.0
1.6115739023471736,0.0,8.711915066504266,0.0,0.0,0.5233367686691216,0.0
1.6165478958729365,0.0,8.544221914593129,0.0,0.0,0.5749747749263384,0.0
1.6215218893986993,0.0,8.391869679569801,0.0,0.0,0.6266127811835553,0.0
1.6264958829244622,0.0,8.230736832838595,0.0,0.0,0.6894113614622613,0.0
1.6314698764502251,0.0,7.879535037823638,0.0,0.0,0.7648781284278142,0.0
1.636443869975988,0.0,7.571775258758556,0.0,0.0,0.8403448953933671,0.0
1.641417863501751,0.0,7.307276690658585,0.0,0.0,0.9146096137734859,0.0
1.6463918570275138,0.0,7.019205202259126,0.0,0.0,0.9876055182726545,0.0
1.6513658505532767,0.0,6.559477086234076,0.0,0.0,1.0606014227718232,0.0
1.6563398440790396,0.0,6.161365707096919,0.0,0.0,1.1367652486339288,0.0
1.6613138376048024,0.0,5.854702410273856,0.0,0.0,1.2189361859001393,0.0
1.6662878311305653,0.0,5.670779532721,0.0,0.0,1.3011071231663498,0.0
1.6712618246563282,0.0,5.486856655168145,0.0,0.0,1.3829999246271745,0.0
1.676235818182091,0.0,5.160377492597935,0.0,0.0,1.4645880270628178,0.0
1.681209811707854,0.0,4.796651528963722,0.0,0.0,1.546176129498461,0.0
1.6861838052336169,0.0,4.57333755738373,0.0,0.0,1.6240132411129353,0.0
1.6911577987593798,0.0,4.350023585803737,0.0,0.0,1.6994435776366132,0.0
1.6961317922851427,0.0,4.1674964799113345,0.0,0.0,1.774873914160291,0.0
1.7011057858109055,0.0,4.002691409729954,0.0,0.0,1.865442735935197,0.0
1.7060797793366684,0.0,3.8378863395485747,0.0,0.0,1.9701206259589166,0.0
1.7110537728624313,0.0,3.563824457021561,0.0,0.0,2.064642202481393,0.0
1.7160277663881942,0.0,3.3199231113202803,0.0,0.0,2.1333994642303655,0.0
