# composition,0.5KCl-0.5UCl3
# source,Andersson, 2024
# temperature_K,1250
# raw_file,0.5KCl-0.5UCl3_Andersson_2024_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K,K-U,U-Cl,U-U
1.4785939835657829,0.0,0.0,0.0,0.0,0.0,0.0
1.4825056078609304,0.0,0.0,0.0,0.0,0.0,0.0
1.486417232156078,0.0,0.0,0.0,0.0,0.0,0.0
1.4903288564512256,0.0,0.0,0.0,0.0,0.0,0.0
1.4942404807463732,0.0,0.0,0.0,0.0,0.0,0.0
1.4981521050415207,0.0,0.0,0.0,0.0,0.0,0.0
1.5020637293366683,0.0,0.0,0.0,0.0,0.0,0.0
1.505975353631816,0.0,0.0,0.0,0.0,0.0,0.0
1.5098869779269635,0.0,0.0,0.0,0.0,0.0,0.0
1.513798602222111,0.0,0.0,0.0,0.0,0.0,0.0
1.5177102265172586,0.0,0.0,0.0,0.0,0.0,0.0
1.5216218508124062,0.0,0.0,0.0,0.0,0.0,0.0
1.5255334751075538,0.0,0.0,0.0,0.0,0.0,0.0
1.5294450994027013,0.0,0.0,0.0,0.0,0.0,0.0
1.533356723697849,0.0,0.0,0.0,0.0,0.0,0.0
1.5372683479929965,0.0,0.0,0.0,0.0,0.0,0.0
1.541179972288144,0.0,0.0,0.0,0.0,0.0,0.0
1.5450915965832916,0.0,0.0,0.0,0.0,0.0,0.0
1.5490032208784392,0.0,0.0,0.0,0.0,0.0,0.0
1.5529148451735868,0.0,0.0,0.0,0.0,0.0,0.0
1.5568264694687344,0.0,0.0,0.0,0.0,0.0,0.0
1.560738093763882,0.0,0.0,0.0,0.0,0.0,0.0
1.5646497180590295,0.0,0.0,0.0,0.0,0.0,0.0
