Freq_rad_ps,VDOS_K,VDOS_Mg
1.382103324247473530e+01,4.812213752729602168e-02,9.889335136971044715e-03
1.391078021158171474e+01,4.729514238013445698e-02,1.058263189731750015e-02
1.400052718068869417e+01,5.047949367768932161e-02,1.112068673838664118e-02
1.409027414979567006e+01,4.815052774598523044e-02,9.687837688726854551e-03
1.418002111890264949e+01,4.404551282276292223e-02,1.137932306600973262e-02
1.426976808800962893e+01,4.248588446178613864e-02,1.146815890187298341e-02
1.435951505711660658e+01,4.755563446797721888e-02,1.019110988385346465e-02
1.444926202622358602e+01,4.563576131034037531e-02,9.833959463539550250e-03
1.453900899533056545e+01,3.898620584952704887e-02,1.178588150551222562e-02
1.462875596443754489e+01,3.712387528175375290e-02,1.122970195495925742e-02
1.471850293354452432e+01,4.408400012669212720e-02,1.139041295314621553e-02
1.480824990265150198e+01,4.164434211747154030e-02,1.217706202473820346e-02
1.489799687175847964e+01,3.980056274607341599e-02,1.179756632941988785e-02
1.498774384086545730e+01,3.964537426367465561e-02,1.201060652862433360e-02
1.507749080997243674e+01,4.138882487039213104e-02,1.289025245211602479e-02
1.516723777907941617e+01,3.986900260374182103e-02,1.309420726035030388e-02
1.525698474818639561e+01,4.416832550115502160e-02,1.238094831824779196e-02
1.534673171729337504e+01,4.810862041140570589e-02,1.155885679520232516e-02
1.543647868640035270e+01,3.888440982924509792e-02,1.147616931863376655e-02
1.552622565550733214e+01,3.799111495510249653e-02,1.175839948136633839e-02
1.561597262461431157e+01,4.311679241143192426e-02,1.143560451047038670e-02
1.570571959372129101e+01,4.652189314844281526e-02,1.173160406508642374e-02
1.579546656282826689e+01,3.946128392841175003e-02,1.195101420205022490e-02
1.588521353193524632e+01,3.761372355828769554e-02,1.209528578545169576e-02
1.597496050104222576e+01,4.331035112058072289e-02,1.130616232207523955e-02
1.606470747014920519e+01,4.776356481265455617e-02,1.128969313739872429e-02
1.615445443925618463e+01,4.563708540590322160e-02,1.259031174525561923e-02
1.624420140836316406e+01,4.756411571575808878e-02,1.129256312516072926e-02
1.633394837747013995e+01,4.767556255675597238e-02,1.116770172887983359e-02
1.642369534657711938e+01,5.000079458805316290e-02,1.121341902358282197e-02
1.651344231568409882e+01,5.052232087762431600e-02,1.125786622353413743e-02
1.660318928479107470e+01,4.779395417187391054e-02,1.106959412814705924e-02
1.669293625389805413e+01,4.076006397952943588e-02,1.226120618310171453e-02
1.678268322300503357e+01,3.903920730426009567e-02,1.204808488506573655e-02
1.687243019211201300e+01,3.448904390248867108e-02,1.129716784120635316e-02
1.696217716121899244e+01,3.932055816181662805e-02,9.868873696249027411e-03
1.705192413032597187e+01,4.454534300446939127e-02,9.219095308776362185e-03
1.714167109943295131e+01,3.507794718409897733e-02,1.058415608782593310e-02
1.723141806853993074e+01,3.652463244640408863e-02,1.091286174207067861e-02
1.732116503764691018e+01,3.920707031014108307e-02,1.096900374822452201e-02
1.741091200675388961e+01,3.563440918779295363e-02,1.169817103340054128e-02
1.750065897586086550e+01,3.966365035263633154e-02,1.193719264878244715e-02
1.759040594496784493e+01,3.850661808398220254e-02,1.187796853712048614e-02
1.768015291407482081e+01,3.958201537573690504e-02,1.140382696653533499e-02
1.776989988318180025e+01,3.773315646421404601e-02,1.206510053551243002e-02
1.785964685228877968e+01,3.936345765945485631e-02,1.318892264533405058e-02
1.794939382139575912e+01,3.789822073799609115e-02,1.234096783870212814e-02
1.803914079050273855e+01,3.523690875783098281e-02,1.095240783360481272e-02
1.812888775960971799e+01,3.977015367790663614e-02,1.072357673590315121e-02
1.821863472871669742e+01,3.221537226708553331e-02,1.102316749518446846e-02
1.830838169782367331e+01,3.313337531893396914e-02,1.159417368150239894e-02
1.839812866693065274e+01,3.383241491481635971e-02,1.208576197723249153e-02
1.848787563603763218e+01,3.507998807120948220e-02,1.310960768004564014e-02
1.857762260514461161e+01,3.356634400548622749e-02,1.324477501519607039e-02
1.866736957425159105e+01,3.446932369523371398e-02,1.300172449174231450e-02
1.875711654335857048e+01,3.541977655337087000e-02,1.263310541014026067e-02
1.884686351246554636e+01,3.418169972170955612e-02,1.222508133072417250e-02
1.893661048157252580e+01,3.522774142124410895e-02,1.246862369236868134e-02
1.902635745067950523e+01,3.175966803612582240e-02,1.381113016565691659e-02
1.911610441978648467e+01,3.411717681651055267e-02,1.366981196102147814e-02
1.920585138889346055e+01,3.659850804128614993e-02,1.203720384116834831e-02
1.929559835800043999e+01,3.400536945251028675e-02,1.111429876686735249e-02
1.938534532710741942e+01,3.421106361675812363e-02,1.176948013991166442e-02
1.947509229621439886e+01,3.986007183027895362e-02,1.201204707402674099e-02
1.956483926532137829e+01,3.993449144713937665e-02,1.263685774513921209e-02
1.965458623442835773e+01,3.407809046285414228e-02,1.405201489014475114e-02
1.974433320353533716e+01,3.315498687320490162e-02,1.299731262119404283e-02
1.983408017264231660e+01,3.220957324977043873e-02,1.196678177927852117e-02
1.992382714174929248e+01,3.341687526426046634e-02,1.248941479598220279e-02
2.001357411085627191e+01,3.374588131559615178e-02,1.460003598867829801e-02
2.010332107996325135e+01,3.237780542810123757e-02,1.327250494138526929e-02
2.019306804907022723e+01,3.212915580579488173e-02,1.215330471904214373e-02
2.028281501817720667e+01,3.442092359107633281e-02,1.335833099632913190e-02
2.037256198728418610e+01,3.257235861059282200e-02,1.279449798772400865e-02
2.046230895639116554e+01,2.978812852590232568e-02,1.178702075868964458e-02
2.055205592549814497e+01,2.933586039203277263e-02,1.317479788153496333e-02
2.064180289460512441e+01,3.017883967110287016e-02,1.357269872262343614e-02
2.073154986371210384e+01,3.166103516110965743e-02,1.409104982175871795e-02
2.082129683281908328e+01,3.036384850870664509e-02,1.462992169592260659e-02
2.091104380192605916e+01,2.832637949701937927e-02,1.347186635204884915e-02
2.100079077103303860e+01,2.802199978042650350e-02,1.239514196495542994e-02
2.109053774014001803e+01,2.492790156125522169e-02,1.238606614753080641e-02
2.118028470924699747e+01,2.621651898439428252e-02,1.355352330582182407e-02
2.127003167835397335e+01,3.019411027485872229e-02,1.270740343350088702e-02
2.135977864746095278e+01,2.672237461434941522e-02,1.177830167382590276e-02
2.144952561656793222e+01,2.718661179398594585e-02,1.324813859555568421e-02
2.153927258567491165e+01,2.933084994540318541e-02,1.183093279801383964e-02
2.162901955478189109e+01,2.853162917981756988e-02,1.235504880871682136e-02
