Cl-Cl,,K-Cl,,K-K,,K-Mg,,K-Na,,Mg-Cl,,Mg-Mg,,Mg-Na,,Na-Cl,,Na-Na,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
4.593750000,0.883138848,4.593750000,0.535259337,4.593750000,1.663129569,4.593750000,2.169859357,4.593750000,1.815786809,4.593750000,0.640400314,4.593750000,0.773837478,4.593750000,1.567161517,4.593750000,0.597925875,4.593750000,1.454823751
4.646250000,0.847986897,4.646250000,0.539952444,4.646250000,1.670503079,4.646250000,2.034162800,4.646250000,1.783028083,4.646250000,0.668205837,4.646250000,0.710121925,4.646250000,1.454830669,4.646250000,0.603809273,4.646250000,1.398537516
4.698750000,0.833811641,4.698750000,0.541956153,4.698750000,1.694521988,4.698750000,1.918367947,4.698750000,1.741833887,4.698750000,0.705994315,4.698750000,0.746757481,4.698750000,1.522662822,4.698750000,0.629565500,4.698750000,1.396822840
4.751250000,0.808379705,4.751250000,0.542473402,4.751250000,1.717625830,4.751250000,1.902673708,4.751250000,1.731245098,4.751250000,0.744167376,4.751250000,0.703764850,4.751250000,1.374729959,4.751250000,0.661613873,4.751250000,1.255357820
4.803750000,0.801627289,4.803750000,0.541289945,4.803750000,1.759176887,4.803750000,1.789832165,4.803750000,1.642942974,4.803750000,0.795221552,4.803750000,0.672368991,4.803750000,1.357228202,4.803750000,0.683674418,4.803750000,1.316361027
4.856250000,0.791101698,4.856250000,0.545561979,4.856250000,1.733949504,4.856250000,1.676993198,4.856250000,1.606139621,4.856250000,0.828943693,4.856250000,0.646399610,4.856250000,1.291166223,4.856250000,0.693179981,4.856250000,1.403899547
4.908750000,0.770037234,4.908750000,0.569180899,4.908750000,1.695516522,4.908750000,1.619214060,4.908750000,1.558996125,4.908750000,0.871395258,4.908750000,0.640354927,4.908750000,1.244103468,4.908750000,0.728087243,4.908750000,1.174171503
4.961250000,0.767078819,4.961250000,0.580212526,4.961250000,1.636678833,4.961250000,1.559798360,4.961250000,1.513477839,4.961250000,0.940077697,4.961250000,0.624552518,4.961250000,1.203780362,4.961250000,0.764008360,4.961250000,1.217178572
5.013750000,0.754944963,5.013750000,0.581987121,5.013750000,1.610464965,5.013750000,1.496302996,5.013750000,1.453396062,5.013750000,0.976031272,5.013750000,0.579145698,5.013750000,1.101110783,5.013750000,0.788753715,5.013750000,1.129191110
5.066250000,0.740828516,5.066250000,0.596583070,5.066250000,1.633712052,5.066250000,1.451030739,5.066250000,1.407193359,5.066250000,1.017099473,5.066250000,0.561638686,5.066250000,1.077440230,5.066250000,0.818041684,5.066250000,1.230392142
5.118750000,0.738078312,5.118750000,0.620349888,5.118750000,1.565869156,5.118750000,1.379036581,5.118750000,1.347990604,5.118750000,1.068728531,5.118750000,0.571987860,5.118750000,1.007563523,5.118750000,0.864625555,5.118750000,1.069202643
5.171250000,0.735167315,5.171250000,0.624456815,5.171250000,1.556465122,5.171250000,1.337821850,5.171250000,1.359719861,5.171250000,1.105225527,5.171250000,0.556158911,5.171250000,0.954224996,5.171250000,0.905323652,5.171250000,1.139376846
5.223750000,0.717232634,5.223750000,0.653879237,5.223750000,1.424585668,5.223750000,1.303688740,5.223750000,1.263375854,5.223750000,1.162887086,5.223750000,0.560743200,5.223750000,0.865938873,5.223750000,0.928559481,5.223750000,1.031742806
5.276250000,0.727418993,5.276250000,0.674759395,5.276250000,1.384810941,5.276250000,1.242183079,5.276250000,1.232537633,5.276250000,1.191111731,5.276250000,0.532704062,5.276250000,0.825140198,5.276250000,0.976483254,5.276250000,1.004659555
5.328750000,0.720116150,5.328750000,0.709608427,5.328750000,1.313173863,5.328750000,1.199760039,5.328750000,1.198994313,5.328750000,1.235833198,5.328750000,0.543391099,5.328750000,0.814211658,5.328750000,1.031617452,5.328750000,0.962130764
5.381250000,0.712921740,5.381250000,0.746184559,5.381250000,1.331297196,5.381250000,1.177585763,5.381250000,1.183708941,5.381250000,1.276405824,5.381250000,0.515572182,5.381250000,0.733620528,5.381250000,1.053259000,5.381250000,0.986624000
