Freq_rad_ps,VDOS_Li,VDOS_K
2.485991044263312588e+01,8.139772303694864375e-03,2.348446753772832907e-02
2.494965741174010532e+01,8.194756255385184443e-03,2.677593505047424702e-02
2.503940438084708475e+01,9.246363908852311617e-03,2.477573867698494928e-02
2.512915134995406063e+01,7.911522353945611361e-03,2.173064589411948661e-02
2.521889831906104007e+01,7.799426629144541080e-03,2.173487242541790807e-02
2.530864528816801950e+01,8.296515944604501355e-03,2.048644785143613131e-02
2.539839225727499894e+01,7.337899921918694321e-03,2.132353222127033807e-02
2.548813922638197838e+01,8.584550115346648719e-03,2.247939334291687921e-02
2.557788619548895781e+01,8.006635232161123453e-03,2.393808225521943528e-02
2.566763316459593725e+01,6.883521685808490810e-03,1.972022254855889528e-02
2.575738013370291668e+01,8.116305687931217941e-03,1.964505527965995299e-02
2.584712710280989612e+01,6.908423030693991961e-03,2.176026640167089826e-02
2.593687407191687555e+01,6.147246370602937535e-03,2.101578958823359378e-02
2.602662104102385143e+01,8.715508999855060140e-03,2.043617205366123762e-02
2.611636801013083087e+01,8.112792051603133839e-03,1.966392480110345717e-02
2.620611497923781030e+01,7.509441427483022451e-03,1.948908127768349610e-02
2.629586194834478974e+01,8.543891440713109742e-03,1.947745490958512765e-02
2.638560891745176207e+01,8.426045758342826097e-03,1.916655003504322968e-02
2.647535588655874150e+01,8.808011054170197113e-03,2.012967511219347985e-02
2.656510285566572094e+01,1.027141282128719510e-02,1.938753674510730607e-02
2.665484982477270037e+01,8.181898693050707050e-03,2.246730134404157850e-02
2.674459679387967981e+01,7.852721186718730761e-03,1.977501887360346919e-02
2.683434376298665924e+01,1.092351507327784729e-02,1.686326325404258197e-02
2.692409073209363868e+01,9.500197520879305121e-03,1.878138489386989296e-02
2.701383770120061811e+01,9.547693843761717938e-03,1.949609499570322674e-02
2.710358467030759755e+01,1.046856164470827757e-02,1.952168715734472343e-02
2.719333163941457698e+01,9.600160086093110015e-03,1.748298874629740027e-02
2.728307860852155287e+01,8.688665275158097626e-03,1.732575315947200087e-02
2.737282557762853230e+01,8.678407303779838919e-03,1.795214065525559469e-02
2.746257254673551174e+01,9.787580763795490982e-03,1.906099909152745436e-02
2.755231951584249117e+01,1.118636019561496282e-02,1.702475091423825623e-02
2.764206648494947061e+01,9.490762737953210501e-03,1.751249059400156877e-02
2.773181345405645004e+01,8.531214944050331470e-03,1.761392303335426734e-02
2.782156042316342948e+01,8.939852117353330047e-03,1.776905289076486857e-02
2.791130739227040891e+01,9.273411506883428093e-03,1.819796502958762399e-02
2.800105436137738835e+01,8.988359838799640442e-03,1.644073169484430719e-02
2.809080133048436068e+01,8.675065591628118924e-03,1.478328540978316417e-02
