r (A),g(r)_weighted_Mg-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_K-K,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,S_i_Mg-Cl,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
1.2856183132166084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.293006924212106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3003955352076038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3077841462031015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3151727571985994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.322561368194097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3299499791895948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3373385901850925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3447272011805902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3521158121760881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3595044231715858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3668930341670835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3742816451625812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.381670256158079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3890588671535768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.3964474781490746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4038360891445723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.41122470014007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4186133111355677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4260019221310656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4333905331265633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.440779144122061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4481677551175587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4555563661130566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4629449771085543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.470333588104052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4777221990995497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4851108100950474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.4924994210905453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.499888032086043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5072766430815407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5146652540770384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5220538650725361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.529442476068034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5368310870635318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5442196980590295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5516083090545272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.558996920050025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5663855310455228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5737741420410205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5811627530365182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.588551364032016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.5959399750275138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.6033285860230115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.6107171970185092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.618105808014007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
