Freq_rad_ps,VDOS_Na,VDOS_K,VDOS_Mg
1.256457567497703032e+01,3.272927412217732646e-02,3.433000544422801920e-02,1.116253195984257679e-02
1.265432264408400975e+01,3.358902231291136659e-02,3.666282660491687606e-02,1.048702998187314717e-02
1.274406961319098919e+01,2.843032626697034743e-02,3.732399419132604451e-02,1.126696485392913658e-02
1.283381658229796862e+01,3.553808119481912525e-02,3.833198417623123744e-02,1.164908996208631822e-02
1.292356355140494806e+01,3.821385731312922779e-02,4.166739579244106706e-02,1.076034052874076143e-02
1.301331052051192572e+01,3.223944714116922655e-02,4.080025213519451743e-02,1.006661807288099751e-02
1.310305748961890515e+01,2.918788842528192984e-02,3.928915345279266474e-02,9.337149608109933385e-03
1.319280445872588103e+01,3.158268499948346103e-02,4.110137017720117553e-02,9.945251071686221633e-03
1.328255142783286047e+01,3.887483046322076641e-02,4.032559758488973856e-02,1.024898972241497334e-02
1.337229839693983990e+01,3.719608989731209431e-02,5.201040699018898150e-02,1.135451026760274200e-02
1.346204536604681934e+01,3.334971378283766580e-02,5.235459816121363491e-02,1.118723191125663152e-02
1.355179233515379877e+01,3.725611569528697320e-02,4.407726439633723875e-02,1.187205491160573875e-02
1.364153930426077643e+01,3.723154007026308054e-02,5.043443439540076095e-02,1.121996128015019523e-02
1.373128627336775587e+01,3.147282178490436177e-02,5.737856083037583266e-02,1.073318871099468268e-02
1.382103324247473530e+01,2.867279683295326925e-02,5.070673687372553168e-02,1.036255648611908269e-02
1.391078021158171474e+01,3.597012782196230135e-02,4.924851556290257143e-02,1.073806553120211331e-02
1.400052718068869417e+01,3.870812100546016515e-02,4.673116910021313242e-02,9.985667556794948843e-03
1.409027414979567006e+01,2.770711242277043226e-02,3.592734276813754069e-02,9.838731979864800276e-03
1.418002111890264949e+01,2.551054087183746502e-02,3.351588646075297911e-02,1.109747239587696201e-02
1.426976808800962893e+01,2.988489982694384969e-02,4.296345434676401148e-02,1.199248460108515157e-02
1.435951505711660658e+01,3.385221629188668591e-02,4.130604586531155115e-02,1.010160070674697048e-02
1.444926202622358602e+01,3.031407164073519553e-02,4.433836794739934306e-02,9.703371602475682756e-03
1.453900899533056545e+01,3.046040964446756344e-02,4.436853503585762998e-02,1.129910502543141418e-02
1.462875596443754489e+01,2.756127628905009896e-02,5.762162546252691531e-02,1.124723138853524207e-02
1.471850293354452432e+01,2.622485771714415034e-02,4.248239284297764679e-02,1.095261895750699981e-02
1.480824990265150198e+01,3.192471437052950278e-02,5.150370999950916462e-02,1.080817457742608463e-02
1.489799687175847964e+01,2.977346218207940765e-02,4.364652845372866963e-02,9.731001494849908853e-03
1.498774384086545730e+01,2.928361685749593032e-02,3.962949763505402290e-02,1.066519063891407069e-02
1.507749080997243674e+01,2.828311258328815650e-02,4.150573304461241397e-02,1.267808361943748539e-02
1.516723777907941617e+01,2.902068879681459629e-02,5.288639434749395352e-02,1.164275220602287338e-02
1.525698474818639561e+01,2.787556832875507165e-02,4.640854600872171970e-02,1.111713543171093804e-02
1.534673171729337504e+01,2.733482099990396097e-02,4.294287749591069181e-02,1.037175938187166399e-02
1.543647868640035270e+01,2.833542010262197347e-02,3.935140847741091380e-02,1.103049876429239989e-02
1.552622565550733214e+01,3.474850399083921626e-02,4.248673492622611486e-02,1.157627414731729476e-02
1.561597262461431157e+01,3.249467293689815850e-02,4.411375055561069652e-02,1.127149435541599694e-02
1.570571959372129101e+01,3.131914650557827279e-02,5.008641644674748095e-02,9.837954435001817002e-03
1.579546656282826689e+01,3.366911555820977647e-02,4.930890848803078791e-02,1.071949374597184861e-02
1.588521353193524632e+01,3.331414855960836835e-02,4.009531748542135426e-02,1.182203378026601762e-02
1.597496050104222576e+01,2.741773894641755943e-02,4.254236358953637775e-02,1.141276165536785070e-02
1.606470747014920519e+01,2.724788836695741373e-02,3.795439800640460631e-02,1.258932201516863719e-02
1.615445443925618463e+01,3.318822730200098742e-02,4.175914730605532338e-02,1.293797497738350538e-02
1.624420140836316406e+01,3.588488401522788723e-02,3.869633102441125821e-02,1.327916462242714757e-02
1.633394837747013995e+01,3.099322492913052229e-02,3.550479311737646942e-02,1.235027647967782208e-02
1.642369534657711938e+01,3.167502847814617634e-02,3.929334740382296742e-02,1.115662912558947409e-02
1.651344231568409882e+01,3.454418883768452936e-02,4.653736756261656060e-02,1.161800599787615219e-02
1.660318928479107470e+01,2.739365765322683208e-02,4.252625769777048509e-02,1.101192072732234441e-02
1.669293625389805413e+01,3.073151246971997375e-02,3.495998688644455510e-02,1.122028611814531417e-02
1.678268322300503357e+01,3.738995910271112472e-02,3.763207292483795874e-02,1.184928217612663155e-02
1.687243019211201300e+01,3.598095200240083308e-02,4.530131395126312660e-02,1.172161822590985641e-02
1.696217716121899244e+01,3.085563400532233963e-02,4.143901707860730976e-02,1.280974878573313755e-02
1.705192413032597187e+01,2.900570266786429638e-02,4.688017685871765511e-02,1.293044424228616436e-02
1.714167109943295131e+01,2.952118856593685670e-02,3.690237728597827588e-02,1.234548359990751860e-02
1.723141806853993074e+01,2.805612558075433124e-02,3.725542333855925287e-02,1.176946309182972002e-02
1.732116503764691018e+01,2.625165732152954026e-02,4.223047040034721977e-02,1.096772204439834184e-02
1.741091200675388961e+01,2.883686883080368440e-02,4.241011017563819929e-02,1.173063537672039414e-02
1.750065897586086550e+01,3.282014298930930468e-02,4.102077696216872849e-02,1.209564369598374080e-02
1.759040594496784493e+01,2.964401927548400775e-02,3.587051280126850317e-02,1.236160156702224323e-02
