Mode_Index,Frequency_cm-1,Type,Participation_Ratio
223,(62.374958028823585+0j),Real,0.45058809660086463
224,(62.90923239510774+0j),Real,0.24132201672439854
225,(63.05926940708937+0j),Real,0.4040307363731456
226,(63.33861891308165+0j),Real,0.3831803475110408
227,(63.43044657764395+0j),Real,0.46316556017514826
228,(63.6774746353582+0j),Real,0.45173354981682246
229,(64.11862019677828+0j),Real,0.3357270858449941
230,(64.1302590773717+0j),Real,0.42034838325866275
231,(64.48502469443585+0j),Real,0.39558139021879984
232,(64.74506801724436+0j),Real,0.4222003814644082
233,(65.70875308331439+0j),Real,0.3723831903765689
234,(65.78242513480755+0j),Real,0.37769720060341155
235,(66.17617093126078+0j),Real,0.37820263562726547
236,(66.34264826413643+0j),Real,0.30307523293307526
237,(66.77286408236341+0j),Real,0.43227406872204815
238,(67.17465080078215+0j),Real,0.41292724906162154
239,(67.61871227347547+0j),Real,0.4274844013402267
240,(67.84896770072683+0j),Real,0.4695224531515779
241,(67.99860587636024+0j),Real,0.4191272955922919
242,(68.49060810779574+0j),Real,0.4503493405334391
243,(68.50131742318332+0j),Real,0.43296718276003976
244,(69.02797177254014+0j),Real,0.4479225522308989
245,(69.1970248649496+0j),Real,0.42161939744043825
246,(69.43532903502137+0j),Real,0.4044997183624329
247,(69.54458161592083+0j),Real,0.4481920220286502
248,(70.02205328279075+0j),Real,0.4241246396147453
249,(70.27100410681805+0j),Real,0.412117252930066
250,(70.6361768378782+0j),Real,0.34084618456552807
251,(71.07157726229241+0j),Real,0.34226939410867796
252,(71.33903802587199+0j),Real,0.45212561414108887
253,(71.43507913516703+0j),Real,0.4456169553933311
254,(72.10647250958067+0j),Real,0.3684228707268868
255,(72.53305714187083+0j),Real,0.40579328323096076
256,(72.81408493241663+0j),Real,0.4314034572917445
257,(73.05950708251056+0j),Real,0.3794746777341449
258,(73.10505253992515+0j),Real,0.35445056731587105
259,(73.29106898944545+0j),Real,0.3147484034128609
260,(73.66437307167197+0j),Real,0.4175646598121646
261,(74.23233169170305+0j),Real,0.31312337545938407
262,(74.46510562337328+0j),Real,0.4220775343389598
263,(74.66117459122907+0j),Real,0.4159420912515814
264,(74.84775299185314+0j),Real,0.35627587932105037
265,(75.0548328130425+0j),Real,0.32551197829234246
266,(75.35279556044097+0j),Real,0.4246963115468034
267,(75.65053295700962+0j),Real,0.3399261016375371
268,(75.93594202191906+0j),Real,0.45066367994900686
269,(76.35106545303002+0j),Real,0.32534220643314904
270,(76.69915567870379+0j),Real,0.2734966417706801
271,(76.73051351715877+0j),Real,0.4823275623381788
272,(77.002754432639+0j),Real,0.4608317828889476
273,(77.44708693297186+0j),Real,0.31887027052602096
274,(77.57479542821577+0j),Real,0.4188419173143043
275,(78.00173440932026+0j),Real,0.3966747066099153
276,(78.75175936394344+0j),Real,0.39751628305470776
277,(78.89578053109891+0j),Real,0.4583760018608572
278,(79.19906259373624+0j),Real,0.41793001214081665
279,(79.31762219624441+0j),Real,0.4069783233974412
280,(79.58982423043912+0j),Real,0.409502964677304
281,(80.06900799211606+0j),Real,0.39549866839734804
282,(80.3511741650491+0j),Real,0.32758926365519736
283,(80.56975694348196+0j),Real,0.4812680142500002
284,(80.72810052467906+0j),Real,0.41657658068266146
285,(81.41666997520927+0j),Real,0.49559687676051684
286,(81.55940017639064+0j),Real,0.4419435919286939
