r (A),g(r)_weighted_K-Cl,g(r)_weighted_Li-Cl,S_i_K-Cl,S_i_Li-Cl,Average_SCL,SCL_BC
0.9259240584042022,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9298641607803904,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9338042631565784,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9377443655327664,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9416844679089548,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9456245702851428,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9495646726613308,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9535047750375188,0.0,0.0,1.0,1.0,2.692709838088354,0
0.957444877413707,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9613849797898952,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9653250821660831,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9692651845422712,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9732052869184592,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9771453892946474,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9810854916708356,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9850255940470236,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9889656964232116,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9929057987994,0.0,0.0,1.0,1.0,2.692709838088354,0
0.996845901175588,0.0,0.0,1.0,1.0,2.692709838088354,0
1.000786003551776,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0047261059279642,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0086662083041522,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0126063106803402,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0165464130565285,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0204865154327163,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0244266178089043,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0283667201850928,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0323068225612808,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0362469249374688,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0401870273136569,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0441271296898451,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0480672320660331,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0520073344422212,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0559474368184094,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0598875391945974,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0638276415707857,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0677677439469735,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0717078463231615,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0756479486993498,0.0,0.0,1.0,1.0,2.692709838088354,0
1.079588051075538,0.0,0.0,1.0,1.0,2.692709838088354,0
1.083528153451726,0.0,0.0,1.0,1.0,2.692709838088354,0
1.087468255827914,0.0,0.0,1.0,1.0,2.692709838088354,0
1.091408358204102,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0953484605802903,0.0,0.0,1.0,1.0,2.692709838088354,0
1.0992885629564784,0.0,0.0,1.0,1.0,2.692709838088354,0
1.1032286653326664,0.0,0.0,1.0,1.0,2.692709838088354,0
1.1071687677088546,0.0,0.0,1.0,1.0,2.692709838088354,0
1.1111088700850429,0.0,3.6514702651003346e-06,1.0,1.0,2.692709838088354,0
1.1150489724612307,0.0,2.4641148257454548e-05,1.0,1.0,2.692709838088354,0
