Li-Li,,Be-F,,Be-Be,,F-F,,Li-F,,Th-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
4.238280391,0.795263214,5.422361331,0.741493162,5.294901081,1.311972505,,,4.392582923,1.260815332,4.895436485,1.634621036
4.269690108,0.780446059,5.512855255,0.778235978,5.349671758,1.333205001,,,4.435104091,1.239403028,4.944175712,1.608747626
4.305039788,0.787068493,5.606012296,0.820488059,5.378535675,1.348041403,,,4.475809982,1.211193479,4.982402454,1.608607483
4.35925902,0.769139779,5.696506221,0.848918957,5.399104163,1.296043421,,,4.510341982,1.181790553,5.033769801,1.527070791
4.432802521,0.781741435,5.745747857,0.858669438,5.445467186,1.270375966,,,4.547829421,1.152009606,5.135071446,1.368088377
4.482890168,0.768246174,5.792326377,0.872970142,5.459816463,1.243319292,,,4.582717661,1.116904167,5.196951276,1.31471668
4.535335123,0.781146196,5.885483418,0.901571551,5.48971079,1.209801653,,,4.62087771,1.091049427,5.235178019,1.235283764
4.595678333,0.791848228,5.965701981,0.916684796,5.516188622,1.17069249,,,4.657953253,1.070795679,5.29705785,1.188954956
4.647020767,0.793328336,,,5.542994964,1.14065456,,,4.713771659,1.034855904,5.345797076,1.098733316
4.692081258,0.809670431,,,5.582126966,1.123692192,,,4.766624444,1.003418524,5.381395698,1.091636569
4.706087857,0.828245373,,,5.632349436,1.11301947,,,4.820579568,0.975106834,5.430134924,1.043618217
4.832567769,0.849816505,,,5.682459677,1.091505309,,,4.87716627,0.958548635,5.466248306,0.997086117
4.907161804,0.888657534,,,5.742139083,1.01939059,,,4.933752973,0.932596252,5.540753981,0.896041628
5,0.930082192,,,5.775449905,0.995681578,,,4.990339675,0.914902995,5.656448783,0.816519474
5.058355438,0.948821918,,,5.830645161,0.985321674,,,5.046926378,0.90038418,5.719704181,0.772085848
5.111405836,0.97939726,,,5.897981885,0.938022111,,,5.10351308,0.885591586,5.807865221,0.756608362
5.147296371,1.002622974,,,5.933467742,0.91817614,,,5.160099783,0.875520707,5.872373172,0.739150057
5.175963425,1.022502639,,,5.975806452,0.930668332,,,5.216686485,0.869534797,5.928996761,0.713548431
5.208345733,1.038675837,,,,,,,5.273273188,0.87384468,5.970177553,0.732410103
5.274495698,1.058891226,,,,,,,5.32985989,0.868036769,,
5.347369199,1.069009785,,,,,,,5.390985633,0.867075621,,
5.384748011,1.094540127,,,,,,,5.443033295,0.872530853,,
5.433080158,1.119936641,,,,,,,5.496850019,0.873924957,,
5.507265317,1.142379472,,,,,,,5.558521611,0.884298618,,
5.55876302,1.154921858,,,,,,,5.612793403,0.893307807,,
