r (A),g(r)_weighted_U-U,g(r)_weighted_Na-U,g(r)_weighted_K-U,g(r)_weighted_U-F,g(r)_weighted_Na-Na,g(r)_weighted_K-Na,g(r)_weighted_Na-F,g(r)_weighted_K-K,g(r)_weighted_K-F,g(r)_weighted_F-F,S_i_U-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
3.5089644822411206,0.0,0.04343267829835053,0.0044776981119290776,0.01395668253916732,0.07587746032587084,0.013122339004015982,0.09664112138766559,0.0019857612982262253,0.03476071852222593,0.49087372731213724,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5129564782391194,0.0,0.04391408427701235,0.0045182784766224435,0.01384540124654958,0.07588597141855277,0.013157633199043697,0.09678050320754922,0.0021482023655983603,0.03462547523354359,0.48992998889100947,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.516948474237118,0.0,0.04439549025567417,0.00455885884131581,0.013734119953931838,0.07589448251123472,0.013192927394071411,0.09691988502743284,0.0023106434329704948,0.034490231944861255,0.48898625046988176,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5209404702351175,0.0,0.04487689623433605,0.004599439206009181,0.013622838661314085,0.07590299360391667,0.01322822158909913,0.09705926684731647,0.002473084500342648,0.0343549886561789,0.4880425120487538,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5249324662331163,0.0,0.04535830221299787,0.004640019570702547,0.013511557368696343,0.07591150469659862,0.013263515784126847,0.0971986486672001,0.002635525567714782,0.034219745367496564,0.48709877362762605,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5289244622311156,0.0,0.04583970819165975,0.0046805999353959175,0.01340027607607859,0.07592001578928058,0.013298809979154565,0.09733803048708374,0.0027979666350869356,0.03408450207881421,0.48615503520649817,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5329164582291144,0.0,0.04632111417032157,0.004721180300089284,0.013288994783460848,0.07592852688196251,0.013334104174182279,0.09747741230696737,0.0029604077024590696,0.03394925879013187,0.48521129678537034,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.536908454227113,0.0,0.0468025201489834,0.004761760664782651,0.013177713490843108,0.07593703797464446,0.013369398369209995,0.09761679412685097,0.003122848769831204,0.03381401550144953,0.4842675583642426,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5409004502251125,0.0,0.047273854707728734,0.004831838192569472,0.013094460793176572,0.07593926864923192,0.013403782906408663,0.09769892746884731,0.0032929775414360105,0.03369597296257166,0.48328168747432815,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5448924462231113,0.0,0.047710610724760544,0.005003189313643817,0.01310743960484257,0.07591993655502836,0.013435044285060923,0.09758450770343052,0.00348950076423958,0.03363698633135588,0.4821511617749133,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5488844422211105,0.0,0.04814736674179241,0.005174540434718181,0.013120418416508572,0.07590060446082482,0.013466305663713186,0.09747008793801373,0.0036860239870431712,0.03357799970014009,0.48102063607549833,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5528764382191094,0.0,0.048584122758824226,0.005345891555792526,0.013133397228174575,0.07588127236662125,0.013497567042365446,0.09735566817259694,0.0038825472098467408,0.03351901306892431,0.4798901103760835,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.556868434217108,0.0,0.04902087877585604,0.005517242676866871,0.013146376039840573,0.07586194027241769,0.013528828421017705,0.09724124840718014,0.004079070432650309,0.033460026437708526,0.4787595846766686,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5608604302151075,0.0,0.0494576347928879,0.005688593797941235,0.013159354851506575,0.07584260817821413,0.013560089799669967,0.09712682864176335,0.004275593655453901,0.03340103980649274,0.47762905897725366,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5648524262131063,0.0,0.04989439080991972,0.0058599449190155795,0.013172333663172574,0.07582327608401057,0.013591351178322227,0.09701240887634656,0.00447211687825747,0.033342053175276956,0.4764985332778388,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5688444222111055,0.0,0.050331146826951584,0.006031296040089945,0.013185312474838576,0.07580394398980701,0.01362261255697449,0.09689798911092974,0.004668640101061061,0.03328306654406117,0.4753680075784238,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5728364182091044,0.0,0.0507679028439834,0.006202647161164289,0.013198291286504578,0.07578461189560345,0.01365387393562675,0.09678356934551298,0.00486516332386463,0.033224079912845386,0.474237481879009,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.576828414207103,0.0,0.05120465886101521,0.006373998282238634,0.013211270098170576,0.07576527980139988,0.01368513531427901,0.09666914958009618,0.0050616865466681996,0.03316509328162961,0.4731069561795941,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5808204102051024,0.0,0.05164442865734025,0.006533250108444472,0.013327237280324635,0.07574457375497454,0.013716711986396828,0.0966068895389767,0.005212354158333144,0.03311110855682102,0.47198111036535617,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5848124062031013,0.0,0.052095849283371784,0.006645727831317081,0.01384134243131675,0.07571855621032594,0.013749507536911978,0.09674627135886033,0.005185750687913263,0.03307646047019636,0.4708733563023515,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5888044022011005,0.0,0.052547269909403366,0.006758205554189701,0.014355447582308918,0.07569253866567734,0.013782303087427134,0.09688565317874395,0.005159147217493378,0.033041812383571706,0.4697656022393467,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5927963981990994,0.0,0.0529986905354349,0.0068706832770623096,0.014869552733301032,0.07566652112102874,0.013815098637942284,0.09702503499862758,0.005132543747073495,0.03300716429694705,0.46865784817634215,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5967883941970986,0.0,0.053450111161466474,0.006983160999934929,0.015383657884293203,0.07564050357638015,0.013847894188457437,0.0971644168185112,0.00510594027665361,0.03297251621032239,0.46755009411333737,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.6007803901950974,0.0,0.05390153178749801,0.007095638722807537,0.015897763035285315,0.07561448603173157,0.013880689738972586,0.09730379863839482,0.005079336806233728,0.032937868123697735,0.4664423400503327,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.6047723861930963,0.0,0.05435295241352954,0.007208116445680145,0.01641186818627743,0.07558846848708296,0.013913485289487737,0.09744318045827845,0.005052733335813846,0.03290322003707308,0.4653345859873281,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.6087643821910955,0.0,0.05480437303956113,0.007320594168552765,0.0169259733372696,0.07556245094243437,0.01394628084000289,0.09758256227816207,0.00502612986539396,0.03286857195044842,0.46422683192432335,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
