r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-U,g(r)_weighted_U-Cl,g(r)_weighted_U-U,S_i_K-Cl,S_i_U-Cl,Average_SCL,lambda_BC
0.7699398493326662,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7737326564722361,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7775254636118059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7813182707513756,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7851110778909454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7889038850305152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.792696692170085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7964894993096547,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8002823064492246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8040751135887944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8078679207283641,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8116607278679339,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8154535350075037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8192463421470735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8230391492866432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.826831956426213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8306247635657829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8344175707053526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8382103778449224,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8420031849844922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.845795992124062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8495887992636317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8533816064032015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8571744135427714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8609672206823411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8647600278219109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8685528349614807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8723456421010505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8761384492406202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.87993125638019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8837240635197599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8875168706593296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8913096777988994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.8951024849384691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.898895292078039,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9026880992176088,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9064809063571784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9102737134967483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.914066520636318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.917859327775888,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9216521349154576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9254449420550276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9292377491945972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.933030556334167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9368233634737368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9406161706133066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9444089777528764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.948201784892446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.951994592032016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9557873991715856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9595802063111556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9633730134507252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9671658205902952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9709586277298649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9747514348694346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9785442420090044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9823370491485742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.986129856288144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9899226634277136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.9937154705672836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
