r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Li,g(r)_weighted_Cl-Cl,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,S_i_Ca-Cl,S_i_Li-Cl,Average_SCL,lambda_BC
3.661171244963141,0.0016393348980340595,0.02938427416473825,0.04924457750372805,0.8431232301882068,0.11573890842014171,0.22206690609162502,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.666118773672551,0.0017255170008645428,0.0291338728332005,0.049872459946650856,0.844514778761607,0.11579649538916072,0.2225594720388687,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.671066302381961,0.0018116991036950263,0.028883471501662764,0.050500342389573655,0.8459063273350071,0.11585408235817976,0.2230520379861124,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.67601383109137,0.0018978812065255095,0.028633070170125015,0.051128224832496454,0.8472978759084075,0.11591166932719878,0.22354460393335604,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.68096135980078,0.001984063309355993,0.028382668838587272,0.0517494123245395,0.8486894244818076,0.1159692562962178,0.22403716988059974,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.685908888510189,0.002070245412186479,0.02813226750704953,0.05236055773111163,0.8500809730552079,0.11602684326523684,0.22452973582784344,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.6908564172196,0.002156427515016969,0.027881866175511753,0.05297170313768383,0.8514725216286083,0.11608443023425585,0.22502230177508717,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.695803945929009,0.0022426096178474525,0.027631464843974014,0.053582848544255976,0.8528640702020084,0.11614201720327486,0.22551486772233084,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.7007514746384182,0.002328791720677936,0.027381063512436268,0.05419399395082812,0.8542556187754086,0.11619960417229387,0.22600743366957457,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.705699003347828,0.0024149738235084194,0.027130662180898518,0.05480513935740025,0.8550242432010309,0.11625719114131292,0.22649999961681822,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.710646532057238,0.002501155926338905,0.02688026084936078,0.05541760761420518,0.8553988877147868,0.11631477811033193,0.22699256556406186,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.715594060766648,0.002587338029169388,0.026629859517823037,0.05610769959081892,0.8557735322285425,0.11637236507935096,0.22748513151130553,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.720541589476057,0.0026735201319998715,0.02637945818628529,0.05679779156743266,0.856148176742298,0.11646604512983819,0.22788428625329432,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.725489118185467,0.002759702234830355,0.02612905685474754,0.05748788354404639,0.8565228212560537,0.11660937543085599,0.22815494296866393,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.730436646894877,0.0029269148582160053,0.025878655523209792,0.058177975520660126,0.8568974657698093,0.11675270573187378,0.22842559968403348,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.735384175604286,0.0031113002594319004,0.02565778941094552,0.05886806749727385,0.8572721102835651,0.11689603603289161,0.22869625639940308,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.740331704313696,0.0032956856606477978,0.025536184339505472,0.05955589495907407,0.8576467547973208,0.11703936633390942,0.22896691311477266,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.745279233023105,0.003480071061863693,0.025414579268065424,0.06023885290333968,0.8580213993110765,0.11718269663492721,0.2292375698301422,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.750226761732515,0.003664456463079586,0.02529297419662538,0.0609218108476053,0.858396043824832,0.11732602693594503,0.22950822654551178,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.755174290441925,0.003848841864295481,0.02517136912518533,0.0616047687918709,0.8587706883385878,0.11746935723696283,0.22977888326088133,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.760121819151334,0.004033227265511377,0.02504976405374529,0.06228772673613652,0.8591453328523434,0.11761268753798064,0.23004953997625094,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.765069347860744,0.004217612666727289,0.024928158982305236,0.06297068468040218,0.8595199773660992,0.11775601783899846,0.23032019669162054,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.770016876570154,0.004401998067943183,0.024806553910865187,0.06365514215992146,0.8598946218798549,0.11789934814001626,0.23059085340699015,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.774964405279564,0.004588455160226579,0.02468494883942514,0.06436923727396728,0.8602692663936105,0.11804267844103408,0.23086151012235973,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.779911933988973,0.00478111896369,0.02456334376798509,0.06508333238801309,0.8606439109073661,0.11818600874205187,0.2311321668377293,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.784859462698383,0.004973782767153422,0.024441738696545045,0.0657974275020589,0.8610185554211219,0.11832933904306968,0.23140282355309888,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.789806991407792,0.005166446570616843,0.024320133625104996,0.0665115226161047,0.8613459206432825,0.11847266934408748,0.23167348026846846,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.794754520117202,0.005359110374080265,0.02419852855366496,0.06722561773015051,0.8609141172153684,0.11861599964510529,0.23194413698383803,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.799702048826612,0.005551774177543686,0.02407692348222491,0.0679397128441963,0.8604823137874539,0.11875932994612311,0.2322147936992076,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.804649577536021,0.005744437981007105,0.023955318410784864,0.0686560907728243,0.8600505103595399,0.11890266024714091,0.23248545041457722,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.809597106245431,0.005937101784470527,0.023833713339344816,0.06937361917019498,0.8596187069316258,0.11918011006027909,0.23262506473161432,0.0024112919714592766,0.270378844217212,2.794731625702527,0
