r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Ca-Cl,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
11.904270743376689,0.06860505915280438,0.15524314254146968,0.017638511146462935,0.0007172183295195856,0.12951383023813973,0.04109820115125156,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.911724889114556,0.06860366406272651,0.15534598930831595,0.01764198115099313,0.000718123601028091,0.12958448658685692,0.04110101303805042,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.919179034852425,0.06860226897264864,0.15544883607516227,0.017645451155523323,0.0007190288725365964,0.12965514293557412,0.04110382492484929,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.926633180590294,0.06860087388257076,0.15555168284200854,0.017660791079612766,0.000719934144045102,0.12972579928429134,0.04110663681164816,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.934087326328164,0.0685994787924929,0.15565452960885484,0.01767930084246913,0.0007208394155536076,0.12980291258263377,0.04109191734875497,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.941541472066032,0.06859808370241502,0.1557696816022745,0.0176978106053255,0.0007217446870621131,0.1298959405176714,0.041076755818344246,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.9489956178039,0.06858407729519088,0.15611623007675643,0.01771632036818187,0.0007226499585706186,0.12998896845270902,0.04106159428793353,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.95644976354177,0.06856352700432942,0.15646277855123833,0.017734830131038232,0.0007235552300791242,0.13008199638774667,0.041046432757522816,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.963903909279638,0.06854297671346796,0.15680932702572026,0.017753339893894597,0.0007244605015876296,0.1301750243227843,0.041031271227112094,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.971358055017507,0.06852242642260647,0.15715587550020219,0.017771849656750965,0.0007253657730961351,0.13026805225782193,0.0410161096967014,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.978812200755376,0.06850187613174501,0.15750242397468409,0.01779035941960733,0.0007262710446046406,0.13036108019285958,0.04100094816629067,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.986266346493244,0.06848132584088354,0.15784897244916601,0.0178088691824637,0.0007271764889915735,0.1304541081278972,0.040985786635879956,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.993720492231114,0.06846077555002208,0.15819552092364794,0.017827378945320063,0.0007280871101607179,0.13054713606293483,0.04097062510546924,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.001174637968983,0.0684402252591606,0.15854206939812987,0.01784588870817643,0.0007289977313298623,0.13064016399797243,0.04095546357505852,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.008628783706852,0.06841967496829916,0.15888861787261177,0.017864398471032796,0.0007299083524990067,0.1307331919330101,0.0409403020446478,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.01608292944472,0.0683991246774377,0.1592351663470937,0.017882908233889164,0.0007308189736681511,0.13082621986804774,0.04092514051423709,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.02353707518259,0.06837857438657623,0.15958171482157563,0.017900576540366975,0.0007317295948372955,0.13091924780308536,0.04090997898382637,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.03099122092046,0.06835802409571476,0.15992826329605753,0.017918201621161197,0.00073264021600644,0.13101227573812296,0.04089481745341565,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.038445366658328,0.06833747380485329,0.16027481177053945,0.017935826701955423,0.0007335508371755845,0.13110532016638446,0.040872660164853636,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.045899512396195,0.0683008686846635,0.16062136024502138,0.01795345178274964,0.0007344614583447289,0.13119859247373528,0.04084926917859112,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.053353658134066,0.06822654955896162,0.1610547144132121,0.017971076863543867,0.0007353720795138733,0.13129186478108607,0.040825878192328614,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.060807803871937,0.06815223043325976,0.16149335293988512,0.01798870194433809,0.0007362827006830178,0.1313851370884369,0.04080248720606611,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.068261949609804,0.06807791130755787,0.16193199146655815,0.018006327025132315,0.0007371933218521621,0.1314784093957877,0.04077909621980361,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.075716095347673,0.06800359218185602,0.16237062999323118,0.018023952105926534,0.0007381039430213067,0.13157168170313852,0.0407557052335411,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.083170241085542,0.06792927305615414,0.16280926851990427,0.01804157718672076,0.0007390145641904513,0.1316649540104893,0.04073231424727859,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.09062438682341,0.06785495393045227,0.16324790704657727,0.01805920226751498,0.0007395818405415484,0.13175822631784012,0.04070892326101609,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.09807853256128,0.0677806348047504,0.1636865455732503,0.0180768273483092,0.0007400680997996309,0.13185149862519094,0.040685532274753584,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.105532678299149,0.06770631567904851,0.1641251840999233,0.018094452429103423,0.0007405543590577136,0.13194477093254178,0.04066214128849108,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.112986824037018,0.06763199655334665,0.16456382262659636,0.01810696734807316,0.0007410406183157962,0.13203804323989257,0.040638750302228584,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.120440969774886,0.06755767742764476,0.1650024611532694,0.01811005300664213,0.000741526877573879,0.1321313155472434,0.040615359315966076,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.127895115512755,0.06748335830194291,0.16544109967994242,0.0181131386652111,0.0007420131368319617,0.13222458785459418,0.040591968329703576,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
12.135349261250624,0.067400503042674,0.16581051707852254,0.018116224323780065,0.0007424993960900444,0.13231786016194502,0.04056857734344107,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
