r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Ca-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
9.54291506396198,0.004463464211297238,0.05637977444115469,0.10867877432905293,0.02172928284168182,0.1942258453689586,0.06043496764589265,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.550358835462731,0.0044598401166781815,0.056350004002080505,0.10864273624536819,0.021735077789675167,0.19410543709027223,0.060395291061145696,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.557802606963484,0.0044562160220591234,0.05632023356300631,0.10860669816168343,0.02174087273766851,0.1939850288115858,0.06035561447639873,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.565246378464233,0.004453877024972019,0.05629046312393213,0.10857066007799866,0.021746667685661854,0.19386462053289943,0.06031593789165177,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.572690149964982,0.004451571431961183,0.05626069268485792,0.10853462199431398,0.0217524626336552,0.193744212254213,0.06027626130690482,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.580133921465732,0.004449265838950347,0.056230922245783736,0.10849858391062923,0.021758257581648545,0.19362380397552664,0.06023658472215786,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.587577692966484,0.004446960245939509,0.05620115180670954,0.10846254582694448,0.021764052529641892,0.19350339569684016,0.0601969081374109,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.595021464467234,0.004444654652928673,0.05617138136763534,0.10842650774325974,0.021769847477635235,0.19338298741815382,0.06017170258551051,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.602465235967983,0.004442349059917836,0.05613369600911793,0.10839046965957502,0.021775642425628575,0.19326257913946746,0.06015726279697845,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.609909007468737,0.004440043466907,0.05607874454393117,0.10835443157589027,0.021781827818925747,0.193142170860781,0.06014282300844638,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
