r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
1.294343175837919,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.2983257702251125,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3023083646123061,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3062909589994998,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3102735533866932,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3142561477738868,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3182387421610804,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.322221336548274,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3262039309354676,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3301865253226612,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3341691197098549,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3381517140970485,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.342134308484242,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3461169028714357,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3500994972586293,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3540820916458227,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3580646860330163,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.36204728042021,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3660298748074036,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3700124691945972,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3739950635817908,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3779776579689844,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.381960252356178,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3859428467433716,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3899254411305653,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3939080355177589,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.3978906299049523,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.401873224292146,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.4058558186793395,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.4098384130665331,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.4138210074537267,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.4178036018409204,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.421786196228114,0.0,0.0,1.0,1.0,2.8791899179460123,0
1.4257687906153076,0.0,0.0,1.0,1.0,2.8791899179460123,0
