r (A),g(r)_weighted_Na-F,g(r)_weighted_Na-Na,g(r)_weighted_F-F,S_i_Na-F,Average_SCL,lambda_BC
0.949090932898338,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9554606707030249,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9618304085077116,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9682001463123985,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9745698841170853,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9809396219217722,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.987309359726459,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9936790975311458,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0000488353358326,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0064185731405195,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0127883109452063,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0191580487498932,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.02552778655458,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0318975243592667,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0382672621639537,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0446369999686405,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0510067377733274,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0573764755780142,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.063746213382701,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.070115951187388,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0764856889920746,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0828554267967614,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.0892251646014484,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.095594902406135,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.101964640210822,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1083343780155088,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1147041158201956,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1210738536248825,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1274435914295693,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.133813329234256,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.140183067038943,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1465528048436298,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1529225426483167,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1592922804530035,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1656620182576902,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1720317560623772,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.178401493867064,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1847712316717507,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1911409694764377,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.1975107072811244,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2038804450858114,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2102501828904981,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2166199206951849,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2229896584998718,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2293593963045586,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2357291341092456,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2420988719139323,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.248468609718619,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.254838347523306,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2612080853279928,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2675778231326795,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2739475609373665,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2803172987420532,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
1.2866870365467402,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
