r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Li,g(r)_weighted_K-Na,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,g(r)_weighted_Li-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Li-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
4.154919334667333,0.7106816286224468,0.0900041117866545,0.0709610251531349,0.14254324055575499,0.02190999354479256,0.10512408701814535,0.1336911289035273,0.026552145122682277,0.014313348951375999,0.003474796067748991,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.160158829414707,0.7061539144732845,0.08947387054705605,0.07147476185471635,0.14227252145736222,0.021965889524483376,0.10568390782927738,0.13337286932570017,0.02643795261752732,0.014332165647707411,0.0034852609749796187,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.165398324162081,0.7016262003241215,0.08894362930745753,0.0719884985562979,0.14200180235896948,0.022021785504174198,0.10624372864040948,0.13305460974787292,0.026323760112372342,0.014350982344038823,0.0034957258822102487,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.170637818909454,0.6970984861749594,0.08841338806785909,0.07250223525787935,0.1417310832605767,0.022077681483865005,0.10680354945154154,0.13273635017004573,0.026209567607217384,0.014369799040370236,0.0035061907894408757,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.175877313656828,0.6925305497292272,0.08789952776937876,0.07301154740998693,0.14141813774902778,0.02212465289662608,0.10744643306583279,0.13241990219822,0.026099942249445573,0.014390364144576739,0.0035081151052900137,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.181116808404202,0.6879037695533303,0.08740963218105298,0.07351438661008619,0.1410434165589727,0.02215856799850844,0.10821083448474565,0.13210610453887797,0.025996998459141753,0.014413487104748646,0.0034975448522662276,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.186356303151575,0.6832769893774332,0.08691973659272721,0.07401722581018544,0.14066869536891768,0.022192483100390806,0.1089752359036585,0.13179230687953594,0.025894054668837933,0.014436610064920558,0.0034869745992424403,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.191595797898949,0.6786502092015356,0.08642984100440133,0.07452006501028478,0.1402939741788626,0.022226398202273165,0.10973963732257151,0.13147850922019388,0.02579111087853409,0.01445973302509247,0.003476404346218651,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.196835292646322,0.6740234290256385,0.08593994541607557,0.07502290421038403,0.13991925298880759,0.02226031330415553,0.11050403874148436,0.13116471156085188,0.025688167088230275,0.014482855985264378,0.0034658340931948647,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.2020747873936966,0.6693966488497408,0.0854500498277497,0.07552574341048338,0.13954453179875245,0.022294228406037897,0.11126844016039736,0.13085091390150977,0.025585223297926434,0.014505978945436291,0.003455263840171077,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.20731428214107,0.6647698686738437,0.08496015423942394,0.07602858261058264,0.13916981060869743,0.022328143507920256,0.1120328415793102,0.13053711624216777,0.025482279507622614,0.014529101905608202,0.00344469358714729,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
