r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
13.011251780542224,0.34409273596800893,0.3313931797289469,0.3308184762349272,5.470879796684016e-06,4.362346357215834,4.63533
13.018703814780794,0.3439829899183776,0.3313838790535906,0.3307845755926048,5.470879796684016e-06,4.362346357215834,4.63533
13.026155849019363,0.3438732438687464,0.33137457837823436,0.33075067495028243,5.470879796684016e-06,4.362346357215834,4.63533
13.033607883257933,0.34376349781911514,0.33136527770287816,0.33071677430796,5.470879796684016e-06,4.362346357215834,4.63533
13.041059917496503,0.3436537517694839,0.33135597702752195,0.33068287366563753,5.470879796684016e-06,4.362346357215834,4.63533
13.04851195173507,0.34354400571985266,0.3313466763521657,0.33064897302331514,5.470879796684016e-06,4.362346357215834,4.63533
13.05596398597364,0.34343425967022134,0.33133737567680943,0.33061507238099275,5.470879796684016e-06,4.362346357215834,4.63533
13.06341602021221,0.3433245136205901,0.3313280750014532,0.3305811717386703,5.470879796684016e-06,4.362346357215834,4.63533
13.070868054450779,0.3432147675709588,0.33131877432609697,0.3305472710963479,5.470879796684016e-06,4.362346357215834,4.63533
13.078320088689349,0.3431050215213275,0.3313094736507407,0.33051337045402546,5.470879796684016e-06,4.362346357215834,4.63533
13.085772122927919,0.3429952754716963,0.3313001729753845,0.33047946981170306,5.470879796684016e-06,4.362346357215834,4.63533
13.093224157166487,0.342885529422065,0.33129087230002824,0.3304455691693806,5.470879796684016e-06,4.362346357215834,4.63533
13.100676191405057,0.34277578337243375,0.331281571624672,0.3304116685270582,5.470879796684016e-06,4.362346357215834,4.63533
13.108128225643627,0.34266603732280243,0.3312722709493158,0.3303777678847358,5.470879796684016e-06,4.362346357215834,4.63533
13.115580259882195,0.3425562912731712,0.3312629702739595,0.3303438672424134,5.470879796684016e-06,4.362346357215834,4.63533
13.123032294120765,0.34244654522353996,0.33125366959860325,0.33030996660009093,5.470879796684016e-06,4.362346357215834,4.63533
13.130484328359335,0.34233679917390863,0.33124436892324705,0.330277013307759,5.470879796684016e-06,4.362346357215834,4.63533
13.137936362597904,0.34222705312427737,0.3312350682478908,0.3302585162489771,5.470879796684016e-06,4.362346357215834,4.63533
13.145388396836474,0.34211730707464616,0.3312257675725345,0.33024001919019524,5.470879796684016e-06,4.362346357215834,4.63533
13.152840431075044,0.3420075610250149,0.3312164668971783,0.33022152213141337,5.470879796684016e-06,4.362346357215834,4.63533
13.160292465313614,0.3418978149753836,0.33120716622182206,0.3302030250726315,5.470879796684016e-06,4.362346357215834,4.63533
13.167744499552182,0.3417880689257523,0.3311978655464658,0.3301845280138496,5.470879796684016e-06,4.362346357215834,4.63533
13.175196533790752,0.3416783228761211,0.3311885648711096,0.33016603095506775,5.470879796684016e-06,4.362346357215834,4.63533
13.182648568029322,0.3415574918598081,0.3311792641957534,0.33014753389628587,5.470879796684016e-06,4.362346357215834,4.63533
13.19010060226789,0.3414092985480957,0.3311699635203971,0.330129036837504,5.470879796684016e-06,4.362346357215834,4.63533
13.19755263650646,0.3412611052363833,0.33116066284504087,0.3301105397787221,5.470879796684016e-06,4.362346357215834,4.63533
13.20500467074503,0.34111291192467097,0.33115136216968466,0.33009204271994025,5.470879796684016e-06,4.362346357215834,4.63533
13.212456704983598,0.3409647186129586,0.3311420614943284,0.3300735456611584,5.470879796684016e-06,4.362346357215834,4.63533
13.219908739222168,0.3408165253012462,0.33113276081897214,0.3300550486023765,5.470879796684016e-06,4.362346357215834,4.63533
13.227360773460738,0.3406683319895337,0.33112346014361593,0.3300365515435946,5.470879796684016e-06,4.362346357215834,4.63533
13.234812807699306,0.3405201386778214,0.3311141594682597,0.33001805448481275,5.470879796684016e-06,4.362346357215834,4.63533
13.242264841937876,0.340371945366109,0.3311048587929034,0.3299995574260309,5.470879796684016e-06,4.362346357215834,4.63533
13.249716876176446,0.3402237520543966,0.3310955581175472,0.329981060367249,5.470879796684016e-06,4.362346357215834,4.63533
13.257168910415015,0.34007555874268425,0.33108625744219095,0.3299625633084671,5.470879796684016e-06,4.362346357215834,4.63533
13.264620944653585,0.33992736543097185,0.3310769567668347,0.32994406624968525,5.470879796684016e-06,4.362346357215834,4.63533
13.272072978892155,0.3397791721192594,0.3310676560914785,0.3299255691909034,5.470879796684016e-06,4.362346357215834,4.63533
13.279525013130723,0.3396309788075471,0.3310583554161222,0.3299070721321215,5.470879796684016e-06,4.362346357215834,4.63533
13.286977047369293,0.33948278549583466,0.33104905474076596,0.32988857507333963,5.470879796684016e-06,4.362346357215834,4.63533
13.294429081607863,0.33933459218412226,0.33103975406540975,0.32987007801455775,5.470879796684016e-06,4.362346357215834,4.63533
