r (A),g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
1.0520978492166082,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0570605749204602,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.062023300624312,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.066986026328164,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.071948752032016,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.076911477735868,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0818742034397195,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0868369291435718,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0917996548474236,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0967623805512756,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1017251062551274,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1066878319589797,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1116505576628315,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1166132833666833,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1215760090705351,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1265387347743872,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1315014604782392,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.136464186182091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.141426911885943,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1463896375897948,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1513523632936469,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.156315088997499,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1612778147013507,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1662405404052023,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1712032661090546,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1761659918129064,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1811287175167584,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1860914432206102,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.1910541689244625,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.196016894628314,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.200979620332166,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.205942346036018,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.21090507173987,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.2158677974437218,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.2208305231475738,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.2257932488514256,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.2307559745552776,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.2357187002591294,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.2406814259629817,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.2456441516668333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.250606877370685,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.2555696030745371,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
