r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_Be-Li,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.6777788915352676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6827261827143571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6876734738934467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6926207650725362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6975680562516258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7025153474307153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7074626386098049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7124099297888944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.717357220967984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7223045121470736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7272518033261631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7321990945052527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7371463856843422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7420936768634318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7470409680425213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7519882592216108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.7569355504007004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
