r (A),g(r)_weighted_F-F,g(r)_weighted_Th-F,g(r)_weighted_Th-Th,S_i_Th-F,Average_SCL,lambda_BC
0.5331735469824913,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5371524540495248,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5411313611165584,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5451102681835919,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5490891752506254,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5530680823176589,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5570469893846924,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5610258964517258,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5650048035187594,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5689837105857929,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5729626176528264,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5769415247198599,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5809204317868935,0.0,0.0,0.0,1.0,4.218217014653536,0
0.584899338853927,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5888782459209605,0.0,0.0,0.0,1.0,4.218217014653536,0
0.592857152987994,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5968360600550275,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6008149671220611,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6047938741890946,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6087727812561281,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6127516883231616,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6167305953901951,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6207095024572287,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6246884095242622,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6286673165912957,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6326462236583292,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6366251307253628,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6406040377923963,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6445829448594298,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6485618519264633,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6525407589934968,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6565196660605304,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6604985731275639,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6644774801945973,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6684563872616308,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6724352943286643,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6764142013956979,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6803931084627314,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6843720155297649,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6883509225967984,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6923298296638319,0.0,0.0,0.0,1.0,4.218217014653536,0
0.6963087367308655,0.0,0.0,0.0,1.0,4.218217014653536,0
0.700287643797899,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7042665508649325,0.0,0.0,0.0,1.0,4.218217014653536,0
0.708245457931966,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7122243649989995,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7162032720660331,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7201821791330666,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7241610862001001,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7281399932671336,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7321189003341672,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7360978074012007,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7400767144682342,0.0,0.0,0.0,1.0,4.218217014653536,0
0.7440556215352677,0.0,0.0,0.0,1.0,4.218217014653536,0
