r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
1.1848781654827414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.1922836540170083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.1996891425512757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.2070946310855426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.2145001196198095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.221905608154077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.229311096688344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.2367165852226112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.2441220737568783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.2515275622911457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.2589330508254126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.2663385393596798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.273744027893947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.281149516428214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.2885550049624812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.2959604934967484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.3033659820310155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.3107714705652826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.3181769590995498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.325582447633817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.332987936168084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.340393424702351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.3477989132366182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.3552044017708853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.3626098903051524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.3700153788394196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.3774208673736867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.384826355907954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.392231844442221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.3996373329764882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.407042821510755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4144483100450225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4218537985792896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4292592871135568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.436664775647824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.444070264182091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4514757527163582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4588812412506251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4662867297848925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4736922183191594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4810977068534266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4885031953876935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.4959086839219609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.503314172456228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5107196609904952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5181251495247623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5255306380590294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5329361265932966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5403416151275635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5477471036618309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.555152592196098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5625580807303652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5699635692646323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5773690577988997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5847745463331664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.5921800348674335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.599585523401701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.6069910119359678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.614396500470235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.621801989004502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.6292074775387693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.6366129660730364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.6440184546073036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.6514239431415707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
