r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,g(r)_weighted_U-F,S_i_Li-F,S_i_Na-F,S_i_U-F,Average_SCL,SCL_BC
0.4703425795637819,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4731759685972986,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4760093576308154,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4788427466643322,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4816761356978489,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4845095247313656,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4873429137648824,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4901763027983992,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4930096918319159,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4958430808654327,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4986764698989495,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5015098589324662,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.504343247965983,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5071766369994998,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5100100260330165,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5128434150665333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.51567680410005,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5185101931335667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5213435821670835,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5241769712006003,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5270103602341171,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5298437492676338,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5326771383011506,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5355105273346673,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5383439163681841,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5411773054017008,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5440106944352177,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5468440834687344,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5496774725022511,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5525108615357679,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.5553442505692846,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
