Cl-Cl,,K-Cl,,K-K,,K-Li,,Li-Cl,,Li-Li,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
7.11375,1.1921428416413824,7.11375,1.0951435468871915,7.11375,0.8299879480336287,7.11375,1.0189700173133502,7.11375,0.8422067379814272,7.11375,1.1530197133980253
7.16625,1.1921963252714818,7.16625,1.0616113843644732,7.16625,0.8194838027348935,7.16625,1.0487437946674967,7.16625,0.8434243476201061,7.16625,1.1659417867047703
7.21875,1.1889783201604378,7.21875,1.0500994154645662,7.21875,0.8130550402366495,7.21875,1.0736716195410148,7.21875,0.8357376771787252,7.21875,1.153202646360892
7.27125,1.1877369643395006,7.27125,1.0227894363393915,7.27125,0.8261892686167949,7.27125,1.0808318269179513,7.27125,0.8435560264042832,7.27125,1.1614127108137302
7.3237499999999995,1.1760015366406782,7.3237499999999995,1.0035617455946475,7.3237499999999995,0.782852158857088,7.3237499999999995,1.1148204650119953,7.3237499999999995,0.8545516404999245,7.3237499999999995,1.1487219687893664
7.37625,1.1591257876564292,7.37625,0.972154968725469,7.37625,0.8267486968405308,7.37625,1.1379778809705203,7.37625,0.8627936248776855,7.37625,1.1459553816337584
7.42875,1.1513488073536298,7.42875,0.9771653235092573,7.42875,0.8446823569251667,7.42875,1.157184605071188,7.42875,0.8645161764242358,7.42875,1.1288676587487065
7.481249999999999,1.1474424577777222,7.481249999999999,0.9365068026751909,7.481249999999999,0.8322348084376209,7.481249999999999,1.1639869135698122,7.481249999999999,0.8737757977827584,7.481249999999999,1.130835430881414
7.5337499999999995,1.129848992178707,7.5337499999999995,0.933765566135209,7.5337499999999995,0.874651580053983,7.5337499999999995,1.1702583410813683,7.5337499999999995,0.8783839733988806,7.5337499999999995,1.1100611655900547
7.58625,1.1239910501834927,7.58625,0.9181383039102832,7.58625,0.8629986625341881,7.58625,1.1836590613746831,7.58625,0.895411182160484,7.58625,1.126948757454002
7.63875,1.099599370738017,7.63875,0.9032432448887129,7.63875,0.8830023316641562,7.63875,1.1932887940006462,7.63875,0.9048542300356535,7.63875,1.1072855543280335
7.69125,1.0926652631915557,7.69125,0.8955625543026806,7.69125,0.9141784123768876,7.69125,1.2046935016969063,7.69125,0.9110341664588428,7.69125,1.084389328881196
7.7437499999999995,1.0802522965637231,7.7437499999999995,0.8766937884222974,7.7437499999999995,0.9345682608722278,7.7437499999999995,1.2118239118140877,7.7437499999999995,0.9165323961736445,7.7437499999999995,1.0862458325709372
7.79625,1.050204437936533,7.79625,0.8633514303609623,7.79625,0.9214401043072595,7.79625,1.1966833716799188,7.79625,0.9304694298340891,7.79625,1.0713582403078388
7.84875,1.0421855493363825,7.84875,0.8627846639789262,7.84875,0.9302752190893284,7.84875,1.2015063571358335,7.84875,0.9514179712190528,7.84875,1.0864267267035803
7.901249999999999,1.015042453741888,7.901249999999999,0.8512238940759123,7.901249999999999,0.9808559767697008,7.901249999999999,1.2156954350571332,7.901249999999999,0.9529463189244354,7.901249999999999,1.0441500907321735
7.953749999999999,1.0052595689046278,7.953749999999999,0.8392343081713477,7.953749999999999,0.9959958521016472,7.953749999999999,1.2059808249278374,7.953749999999999,0.9653020825554242,7.953749999999999,1.044762114495611
8.00625,0.9883327564257985,8.00625,0.8365746414041207,8.00625,1.0005065707061647,8.00625,1.1889462995929558,8.00625,0.969766594654009,8.00625,1.0158931202116526
8.05875,0.9728814215622993,8.05875,0.8363159353043471,8.05875,1.035231430610947,8.05875,1.17079745128619,8.05875,0.991509775135304,8.05875,1.0103510133680658
8.111249999999998,0.9584146406415557,8.111249999999998,0.8372905640489978,8.111249999999998,1.0396720866437865,8.111249999999998,1.178017283295956,8.111249999999998,0.9995605691394573,8.111249999999998,0.9881152431929787
8.16375,0.9503381185089648,8.16375,0.8439784353261696,8.16375,1.0684049298401297,8.16375,1.1586141303296889,8.16375,1.0174702747947912,8.16375,0.9886767177725614
8.216249999999999,0.9336480890236344,8.216249999999999,0.8550204524012218,8.216249999999999,1.0770471780273188,8.216249999999999,1.17005338098818,8.216249999999999,1.0279949226604546,8.216249999999999,0.9734258233254696
8.26875,0.9327010766670709,8.26875,0.849462756270415,8.26875,1.078464609953244,8.26875,1.1512412770223621,8.26875,1.0235836128543065,8.26875,0.9788629039922758
8.32125,0.922962677858059,8.32125,0.8526918492033299,8.32125,1.0920597640006675,8.32125,1.1358196925195772,8.32125,1.0373083456792593,8.32125,0.9533313451896447
8.373750000000001,0.9134809437912833,8.373750000000001,0.8694245007320482,8.373750000000001,1.133400811301341,8.373750000000001,1.1313765800562723,8.373750000000001,1.043229146031255,8.373750000000001,0.9486077400403713
8.42625,0.9052954336785806,8.42625,0.8628446284591623,8.42625,1.1329819002148498,8.42625,1.1101662465982025,8.42625,1.0610645724864636,8.42625,0.9392444072186357
8.47875,0.9046905170621097,8.47875,0.8930348407166994,8.47875,1.1175138435450143,8.47875,1.1029847900790446,8.47875,1.056881732395553,8.47875,0.9311828461899612
8.53125,0.8992799586144561,8.53125,0.9021766950800434,8.53125,1.126554296728094,8.53125,1.0992517690520522,8.53125,1.0650996640034085,8.53125,0.932641635157575
8.583749999999998,0.8945101307240475,8.583749999999998,0.9079503947195599,8.583749999999998,1.1771898060243857,8.583749999999998,1.0638324421147096,8.583749999999998,1.0723516872038994,8.583749999999998,0.9209131600522666
8.63625,0.8947316137256226,8.63625,0.9201854592767782,8.63625,1.1359611654815749,8.63625,1.0529027663447603,8.63625,1.0680898670164645,8.63625,0.9235257080864183
8.688749999999999,0.8945207698954811,8.688749999999999,0.9450693766598303,8.688749999999999,1.1774252440078583,8.688749999999999,1.052297344258956,8.688749999999999,1.0709566284782173,8.688749999999999,0.9300660263213166
8.74125,0.9026082783345164,8.74125,0.9618834107123547,8.74125,1.1388660596083413,8.74125,1.033770093502212,8.74125,1.0681362662735392,8.74125,0.9154561187980065
