Mg-Cl,,K-Cl,,Mg-Mg,,K-K,,Na-Cl,,Cl-Cl,,Na-Na,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
4.563388467,0.532268136,6.682198648,1.188468802,6.131545969,0.870608121,10.09744865,0.939299855,6.113532409,1.280784651,7.749807522,1.017046299,9.030090467,0.990351056
4.730163597,0.653082702,6.791705571,1.142622056,6.198679012,0.913449601,10.21830886,0.921172072,6.315234822,1.20919244,7.917380822,0.981106019,9.188184454,0.960249478
4.878294185,0.788999089,6.916899161,1.088439538,6.254623214,0.953230977,10.40580835,0.91405089,6.422998381,1.146549255,8.084934012,0.949670232,9.402076319,0.930189525
5.026545449,0.894711834,7.002876083,1.05509645,6.310567415,0.999132563,10.63327392,0.914263276,6.544241024,1.074957045,8.218964498,0.927224299,9.606668537,0.920268977
5.156272847,0.985322758,7.151200013,1.005081817,6.377700458,1.048094256,10.90079302,0.918161186,6.705644429,1.01231386,8.386417139,0.918310977,9.792661463,0.920407726
5.276587467,1.106137324,7.291280949,0.975906615,6.489588862,1.087875631,11.11461589,0.929305213,6.840089663,0.967568729,8.598472875,0.918432152,10.01585297,0.92561081
5.415606968,1.196748249,7.431561715,0.938395641,6.579099585,1.136837323,11.24806936,0.944022323,7.001354821,0.922823597,8.754724469,0.918521438,10.22044519,0.935836606
5.527051854,1.211850069,7.563899233,0.909220439,6.623854946,1.170498487,11.40819602,0.962412465,7.175960817,0.887027491,8.93327761,0.923127973,10.43433706,0.95614251
5.666493722,1.196748249,7.688293502,0.888381009,6.72455451,1.210279862,11.56823523,0.984450652,7.350428566,0.869129439,9.134112188,0.936756249,10.65752857,0.973937059
5.82470081,1.136340966,7.827974777,0.875877351,6.825254073,1.256181449,11.74174222,1.002853287,7.565057076,0.860180412,9.290283344,0.954863508,10.86212079,1.001790904
6.010784204,1.075933683,8.029503485,0.867541579,6.925953636,1.289842613,11.88857601,1.017582891,7.75279654,0.860180412,9.502238532,0.977507148,11.07601265,1.024615102
6.122470443,1.030628221,8.23837595,0.875877351,7.03784204,1.311263353,12.04879013,1.032324988,7.96721768,0.878078465,9.658409688,0.995614406,11.33640275,1.047473986
6.28073787,0.955119117,8.416374658,0.880045237,7.172108125,1.332684093,12.23585235,1.043444028,8.154680649,0.91387457,9.870364875,1.018258046,11.61539214,1.055236988
6.457649838,0.864508192,8.609460541,0.900884667,7.31756305,1.338804305,12.35618785,1.047204512,8.328733657,0.949670676,10.02653603,1.036365305,11.829284,1.050359964
6.606504486,0.81920273,8.825476935,0.934227755,7.451829134,1.32044367,12.55671785,1.054688001,8.502786665,0.985466781,10.18276752,1.040959085,12.05247551,1.042971584
6.792768894,0.713489985,9.025806661,0.975906615,7.563717538,1.295962824,12.73066211,1.054850414,8.690318758,1.01231386,10.33903922,1.036543878,12.25706773,1.02801445
