Na-Na,,Na-Cl,,Ca-Ca,,Ca-Cl,,Mg-Mg,,Mg-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
9.437135643,0.916351801,4.829630228,0.920962274,5.243064052,1.866658923,3.000998995,1.905026658,5.25491863,0.669556873,2.276084025,2.222413144
9.590753131,0.913616722,4.93667509,0.969904474,5.285956856,1.693868477,3.031667222,1.653505722,5.355611688,0.735717678,2.293795618,1.899588349
9.744379756,0.901037794,5.042110255,1.027825346,5.328286716,1.518588081,3.055628554,1.490166992,5.467339602,0.824223607,2.326602319,1.526051259
9.89799496,0.900763677,5.148350269,1.078970522,5.364886546,1.375073921,3.08093532,1.318927714,5.573550088,0.892266831,2.364659754,1.107408217
10.05159417,0.917716295,5.254590282,1.137736899,5.411179024,1.280447251,3.122305127,1.099101777,5.679760574,0.945038169,2.399290253,0.833162702
10.20519567,0.932207951,5.360830296,1.193454795,5.439377086,1.185334132,3.189001002,0.876471435,5.78597106,1.002391073,2.461763872,0.574510076
10.35879717,0.946699606,5.467070309,1.24155149,5.462613207,1.06578744,3.266360179,0.669248274,5.892181546,1.044981155,2.519390107,0.308376853
10.51240095,0.9587303,5.573310323,1.278470423,5.493800131,0.950830074,3.345065611,0.521577982,5.998392032,1.08451686,2.615210672,0.141115003
10.66598874,0.987987728,5.679550337,1.300655033,5.56078318,0.885604971,3.444434646,0.422032378,6.104602519,1.130161318,2.710853274,0.029585406
10.81959024,1.002479383,5.78579035,1.296927559,5.621096682,0.78721499,3.556955014,0.332580169,6.210813005,1.187514223,2.812775441,0.020981455
10.97318032,1.029275849,5.892030364,1.272876881,5.676680081,0.678368522,3.662439497,0.302486442,6.310988804,1.218022775,2.919044998,0.035372361
11.12679324,1.031462695,5.998270377,1.245269642,5.723025584,0.617662788,3.76695916,0.278940315,6.420233463,1.251740436,3.022263755,0.0498909
11.28039931,1.041032426,6.104510391,1.195814959,5.787638381,0.566099125,3.881562697,0.270731429,6.537289555,1.270376815,3.131584113,0.046334135
11.43400309,1.053063119,6.210750404,1.151949157,5.880727401,0.527256394,3.981083339,0.280208579,6.635654949,1.307477328,3.237853671,0.059298246
11.58762286,1.047867078,6.316990418,1.104526795,5.973808846,0.480613043,4.085235081,0.317304588,6.734355602,1.313829999,3.344123228,0.072262357
11.74124035,1.045131999,6.423230431,1.066757954,6.078148103,0.497958005,4.193464482,0.351861059,6.848075921,1.313243689,3.450392786,0.085226467
11.89486012,1.039935958,6.529470445,1.033053754,6.168178503,0.488299159,4.299656637,0.384837594,6.954286407,1.328344377,3.556662343,0.122420549
12.04848446,1.029817992,6.635710458,1.003414195,6.246337616,0.521875698,4.405833164,0.445931222,7.060496893,1.323082552,3.6629319,0.168882415
12.20211337,1.014778102,6.741950472,0.974282716,6.340378198,0.511102079,4.514586805,0.502859461,7.166707379,1.309166659,3.769201458,0.204891523
12.35573771,1.004660137,6.848190486,0.948199718,6.443406712,0.550124354,4.618971377,0.603134705,7.272917865,1.287614823,3.875471015,0.259763106
12.50936891,0.987159285,6.954430499,0.9277056,6.548454453,0.581268284,4.724324725,0.697605034,7.379128351,1.265553924,3.981740573,0.328438257
12.66298639,0.984424206,7.060670513,0.913816524,6.645898365,0.614321424,4.830478863,0.798974497,7.481315712,1.222797621,4.086936701,0.363774428
12.8166016,0.984150089,7.166910526,0.899927447,6.725087339,0.637150429,4.945163463,0.88072791,7.591549323,1.184270539,4.203940557,0.555804067
12.9702168,0.983875972,7.27315054,0.892135332,6.832967041,0.709388131,5.033789344,0.976523064,7.697759809,1.136247435,4.316898408,0.645758498
