LiCl,,KCl,,CeCl,
X,Y,X,Y,X,Y
0.711309618,1.295657069,,,,
0.714038386,1.294537389,,,,
0.716767153,1.294910616,,,,
0.718813729,1.290058669,,,,
0.723185012,1.300738007,,,,
0.727227429,1.290058669,,,,
0.72881921,1.28334059,,,,
0.733489461,1.300738007,,,,
0.73911007,1.293819188,,,,
0.743793911,1.300738007,,,,
0.74905757,1.312452269,,,,
0.751786337,1.330367148,,,,
0.754515105,1.325515201,,,,
0.757243872,1.306853869,,,,
0.75997264,1.303494829,,,,
0.761564421,1.303494829,,,,
0.771194379,1.349169742,,,,
0.781347986,1.37254176,,,,
0.784076753,1.388590506,,,,
0.786805521,1.386351146,,,,
0.789534289,1.394188906,,,,
0.792263056,1.389710186,,,,
0.794991824,1.398667625,,,,
0.797720591,1.412477012,,,,
0.79953977,1.424420265,,,,
