Ca-Ca,,Ca-Cl,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
9.58125,0.954518826944397,9.58125,1.086373473120748,9.58125,0.9549201892404328
9.63375,0.9394758769105531,9.63375,1.0831301811914011,9.63375,0.968909240126322
9.686250000000001,0.9404388982342954,9.686250000000001,1.0839309979682012,9.686250000000001,0.9764900056283224
9.73875,0.9321911322386965,9.73875,1.0690896577724944,9.73875,0.9717661144203958
9.791249999999998,0.9471212434183655,9.791249999999998,1.066175739722883,9.791249999999998,0.9742010914016486
9.84375,0.9364068936942194,9.84375,1.0607093068006366,9.84375,0.9796167451645038
9.896249999999998,0.940400352934199,9.896249999999998,1.0597705359340976,9.896249999999998,0.9904339992125942
9.94875,0.9408632267952922,9.94875,1.0512258570288817,9.94875,0.9921668926292286
10.001249999999999,0.940203901155621,10.001249999999999,1.0529600143994102,10.001249999999999,0.997350059593537
10.05375,0.9402067532995901,10.05375,1.0435083188829801,10.05375,1.0023929006616403
10.10625,0.93678285173024,10.10625,1.035503541468093,10.10625,1.0034001898136067
10.158750000000001,0.9453731839098607,10.158750000000001,1.037305288352588,10.158750000000001,1.0149708442539416
10.21125,0.9347444247032712,10.21125,1.0148214148993282,10.21125,1.0173682818304735
10.263749999999998,0.9356131918121146,10.263749999999998,1.0203893049811077,10.263749999999998,1.0198307533620434
10.31625,0.9480463339654425,10.31625,1.0121700500261392,10.31625,1.0305420293959113
10.368749999999999,0.9504765561150407,10.368749999999999,1.005918052277367,10.368749999999999,1.0376081955149379
10.42125,0.9548450312539077,10.42125,1.003531136138288,10.42125,1.0339460871753656
10.473749999999999,0.9685079694916021,10.473749999999999,0.9981071639213414,10.473749999999999,1.0344965727158868
