Freq_rad_ps,VDOS_K,VDOS_Mg
2.387269378245635920e+01,2.703760743512719986e-02,1.197161649618276071e-02
2.396244075156333864e+01,2.560633201042886165e-02,1.262315349947234350e-02
2.405218772067031807e+01,2.553159435403450431e-02,1.261685273846937898e-02
2.414193468977729751e+01,2.620057359839893588e-02,1.262291480804470650e-02
2.423168165888427694e+01,2.563365331894354796e-02,1.267596911342870961e-02
2.432142862799125282e+01,2.589194675096564285e-02,1.313270746647001753e-02
2.441117559709823226e+01,2.339038000304130560e-02,1.057073114681279270e-02
2.450092256620521169e+01,2.262509229590304108e-02,1.160457944681496725e-02
2.459066953531219113e+01,2.371181254568082916e-02,1.071087947221973855e-02
2.468041650441917056e+01,2.384907801586486770e-02,1.099645841531063546e-02
2.477016347352615000e+01,2.309930095350313725e-02,1.182771039050211324e-02
2.485991044263312588e+01,2.220186649974102353e-02,1.129721243760334858e-02
2.494965741174010532e+01,2.208953931411712299e-02,1.169924701805278265e-02
2.503940438084708475e+01,2.417728575863688570e-02,1.255470280366407371e-02
2.512915134995406063e+01,2.374099201662960290e-02,1.147355647432167676e-02
2.521889831906104007e+01,2.074148191797023713e-02,1.336900052955967977e-02
2.530864528816801950e+01,2.216328702461992442e-02,1.237644918840599857e-02
2.539839225727499894e+01,2.067736996557813928e-02,1.209082184725239484e-02
2.548813922638197838e+01,2.559745376660309268e-02,1.532396752060845822e-02
2.557788619548895781e+01,2.594032871378293068e-02,1.682014087830324689e-02
2.566763316459593725e+01,1.899039299712346196e-02,1.321885268960682445e-02
2.575738013370291668e+01,1.932381764282209424e-02,1.150493548837381447e-02
2.584712710280989612e+01,1.973797691133614626e-02,1.253167426795379936e-02
2.593687407191687555e+01,2.004218102615176744e-02,1.239376778145511414e-02
2.602662104102385143e+01,2.209662926921988554e-02,1.130746775292537296e-02
2.611636801013083087e+01,2.486263157288525621e-02,1.120441832463219684e-02
2.620611497923781030e+01,2.205378317539829700e-02,1.436367968370191352e-02
2.629586194834478974e+01,1.933887691620976568e-02,1.434756782508729046e-02
2.638560891745176207e+01,1.931530215065497061e-02,1.305596880449199498e-02
2.647535588655874150e+01,1.902062241165482226e-02,1.387229153652684045e-02
2.656510285566572094e+01,1.967444765940991672e-02,1.503945348353457473e-02
2.665484982477270037e+01,2.087206569032491049e-02,1.511067687069538208e-02
2.674459679387967981e+01,2.063837111515972461e-02,1.226966550242781888e-02
2.683434376298665924e+01,1.892637099622722016e-02,1.322473948451267575e-02
2.692409073209363868e+01,1.818049958138727093e-02,1.277104882035106324e-02
2.701383770120061811e+01,1.868162548001582601e-02,1.188469083791370180e-02
2.710358467030759755e+01,2.031222550054197565e-02,1.343139110103008273e-02
2.719333163941457698e+01,1.905785027917353616e-02,1.298620249804172642e-02
2.728307860852155287e+01,2.031782660157944315e-02,1.168151656344540955e-02
2.737282557762853230e+01,1.931535310010726661e-02,8.678461698361259608e-03
2.746257254673551174e+01,1.646643345171991749e-02,1.061696954490311089e-02
2.755231951584249117e+01,1.745655355377421364e-02,1.231916999551428173e-02
2.764206648494947061e+01,1.698081749880581484e-02,1.239318209314154741e-02
2.773181345405645004e+01,1.668903025384387354e-02,1.128345079699131712e-02
2.782156042316342948e+01,1.720612196009272538e-02,1.231091872581661743e-02
2.791130739227040891e+01,1.651640982253672202e-02,1.259251674557307354e-02
2.800105436137738835e+01,1.575010239328780703e-02,1.247121352718112003e-02
2.809080133048436068e+01,1.534427631865382773e-02,1.166421614738638937e-02
2.818054829959134011e+01,1.363727940232012208e-02,1.014626608868661115e-02
2.827029526869831955e+01,1.542288929031964892e-02,1.252441729122818863e-02
2.836004223780529898e+01,1.555588062766328529e-02,1.584963820731292647e-02
2.844978920691227842e+01,1.444867087993378929e-02,1.237804034205377060e-02
2.853953617601925785e+01,1.646122288781295614e-02,1.090658365705378212e-02
2.862928314512623373e+01,1.525897219790398746e-02,1.060699830519945021e-02
2.871903011423321317e+01,1.557718319159175947e-02,1.138558634180632245e-02
2.880877708334019260e+01,1.629213582277313707e-02,1.183566102222942049e-02
2.889852405244717204e+01,1.554669879408106942e-02,1.129951020539662898e-02
2.898827102155415147e+01,1.474781923947950102e-02,1.246540270710661327e-02
2.907801799066113091e+01,1.575582979919060503e-02,1.225268717082174386e-02
2.916776495976811034e+01,1.468408766318947574e-02,1.160635737785929364e-02
2.925751192887508978e+01,1.656831407937005979e-02,1.155092684288339978e-02
2.934725889798206921e+01,1.590704845519319219e-02,1.018028157449763112e-02
2.943700586708904865e+01,1.537083200249339705e-02,1.111462985771350526e-02
2.952675283619602453e+01,1.358366897456979652e-02,1.033597486412484411e-02
2.961649980530300397e+01,1.466577216295747270e-02,9.159476715701954028e-03
2.970624677440998340e+01,1.666870242801662613e-02,1.086941490748788430e-02
2.979599374351695928e+01,1.487606106432838929e-02,9.925226594447569828e-03
2.988574071262393872e+01,1.265157551125667759e-02,8.378848357201101535e-03
2.997548768173091460e+01,1.221446039266273730e-02,7.767865942458976845e-03
3.006523465083789404e+01,1.139026206445712015e-02,8.552982246734237848e-03
3.015498161994487347e+01,1.088438191777244858e-02,8.686206463643391176e-03
3.024472858905185291e+01,1.251213403354072343e-02,1.056820783911942979e-02
3.033447555815883234e+01,1.281806005613335755e-02,7.864879101191980110e-03
3.042422252726581178e+01,1.310428845311849798e-02,7.222351856906478185e-03
3.051396949637279121e+01,1.257104863192456783e-02,7.465672872094443989e-03
3.060371646547977065e+01,1.128681247067162517e-02,7.659458153477922276e-03
3.069346343458675008e+01,1.183946560821458154e-02,8.801813340719114725e-03
3.078321040369372952e+01,1.171671714837183367e-02,8.358110814906926853e-03
3.087295737280070540e+01,1.083877596836826072e-02,8.547243230375417902e-03
3.096270434190768484e+01,9.603957493628282119e-03,8.205847981643100628e-03
3.105245131101466427e+01,1.084469850773054841e-02,7.749732494973898302e-03
3.114219828012164371e+01,1.056379604468857258e-02,8.105698166310966457e-03
3.123194524922862314e+01,1.137944286562529370e-02,8.343727024503961795e-03
3.132169221833560258e+01,1.216703309818446994e-02,7.686442881317899663e-03
3.141143918744258201e+01,1.019412590355830983e-02,6.767156674362453765e-03
3.150118615654955434e+01,1.160465407064084978e-02,6.566971863551786942e-03
3.159093312565653378e+01,1.170012201346082824e-02,7.044262865393492029e-03
3.168068009476351321e+01,9.933454141296054266e-03,7.430622171265361710e-03
3.177042706387049265e+01,1.047131196053642521e-02,7.197152298720543157e-03
3.186017403297747208e+01,1.054301862891189254e-02,6.908458896534644400e-03
