Li-Cl,,K-Cl,,Eu-Cl,
X,Y,X,Y,X,Y
,,,,4.720966476,0.506553848
,,,,4.76879986,0.612066795
,,,,4.796492872,0.631965849
,,,,4.91481756,0.941012632
,,,,4.945028118,1.003083264
,,,,4.975238676,0.999010388
,,,,5.005449235,0.979435127
,,,,5.023072061,0.984638227
,,,,5.058317712,1.052919994
,,,,5.089367453,1.223509015
,,,,5.113703736,1.30003666
,,,,5.128809015,1.344507376
,,,,5.143914294,1.172978199
,,,,5.185873403,1.097618112
,,,,5.206852958,1.190674846
,,,,5.237063516,1.223807693
,,,,5.29244954,1.120570466
,,,,5.319135533,1.173745937
,,,,5.373011029,1.177575458
