Freq_rad_ps,VDOS_Na,VDOS_K
1.974433320353533716e+01,2.890546981175560678e-02,3.408425763005096948e-02
1.983408017264231660e+01,2.778138442830671573e-02,3.328849793812551500e-02
1.992382714174929248e+01,2.499233762173140236e-02,3.066395096562819084e-02
2.001357411085627191e+01,2.659153199027865233e-02,2.938443398120914665e-02
2.010332107996325135e+01,2.817923471100531804e-02,2.866530926015948069e-02
2.019306804907022723e+01,2.660885288318558944e-02,2.835520449643216812e-02
2.028281501817720667e+01,2.803911707196255973e-02,2.739195364990375942e-02
2.037256198728418610e+01,2.819618021965939608e-02,2.784711278693498965e-02
2.046230895639116554e+01,3.059689703695431945e-02,2.801376891085294654e-02
2.055205592549814497e+01,2.718688098772449255e-02,2.538798259723555953e-02
2.064180289460512441e+01,2.080264373014247339e-02,2.328180897133055524e-02
2.073154986371210384e+01,2.200811983440963820e-02,2.540555041985508716e-02
2.082129683281908328e+01,2.586813412021491884e-02,3.174545614315282815e-02
2.091104380192605916e+01,2.315724595043445674e-02,3.097007832058897361e-02
2.100079077103303860e+01,2.238133902770541445e-02,2.664092406720672615e-02
2.109053774014001803e+01,2.255077203731398888e-02,2.425276242571251448e-02
2.118028470924699747e+01,2.446452646711383752e-02,2.811226697928199264e-02
2.127003167835397335e+01,2.376676206043678088e-02,2.714358131153141521e-02
2.135977864746095278e+01,2.766659900940246150e-02,2.290417993004556160e-02
2.144952561656793222e+01,2.871058989488949748e-02,2.368519999305226248e-02
2.153927258567491165e+01,2.604274232536137046e-02,2.730031030336554573e-02
2.162901955478189109e+01,2.903249598880032825e-02,2.586033067866894478e-02
2.171876652388886697e+01,2.340396900175124514e-02,2.630495848282061663e-02
2.180851349299584641e+01,2.250450940000347025e-02,2.476428668075118106e-02
2.189826046210282584e+01,2.414670515486416411e-02,2.402617371227172560e-02
2.198800743120980528e+01,2.378719879017467120e-02,2.628482713112938879e-02
2.207775440031678471e+01,2.448982992854617860e-02,2.685361588869973268e-02
2.216750136942376415e+01,2.377449401049658295e-02,2.713379201224234288e-02
2.225724833853074358e+01,2.655004424922235637e-02,2.474748258474265480e-02
2.234699530763772302e+01,2.540484956196386104e-02,2.278288112533381760e-02
2.243674227674469890e+01,2.278154984911312173e-02,2.065545139271057415e-02
2.252648924585167833e+01,2.252041834540322723e-02,2.190852591472539079e-02
2.261623621495865422e+01,2.371823713028764491e-02,2.500069722534579639e-02
2.270598318406563365e+01,2.337620339045916318e-02,2.235904504202591847e-02
2.279573015317261309e+01,2.183781642934767842e-02,2.241063259465929033e-02
2.288547712227959252e+01,2.295772626825849649e-02,2.159947635437767591e-02
2.297522409138657196e+01,2.498971116305639603e-02,2.161913224128627839e-02
2.306497106049355139e+01,2.409616132272673558e-02,2.140929136303160521e-02
2.315471802960053083e+01,2.389242999094602984e-02,2.274623005564154962e-02
2.324446499870751026e+01,2.560571937191901543e-02,2.506641402796840057e-02
2.333421196781448970e+01,2.439247726074172951e-02,2.237896655511756316e-02
2.342395893692146558e+01,2.324434378735283635e-02,2.139543585270578530e-02
2.351370590602844501e+01,2.153329423024969227e-02,1.833043838908205228e-02
2.360345287513542445e+01,2.405699031691168124e-02,2.016307356732649492e-02
2.369319984424240033e+01,2.362448234838121150e-02,2.382327152690906849e-02
2.378294681334937977e+01,2.452085210939957544e-02,2.286040881054841531e-02
2.387269378245635920e+01,2.672869091405525449e-02,2.208548441239893689e-02
2.396244075156333864e+01,2.272165687855098176e-02,2.038300894764482826e-02
2.405218772067031807e+01,2.316064756566199243e-02,1.968179323444662829e-02
2.414193468977729751e+01,2.428751217452721628e-02,1.907508791672955090e-02
2.423168165888427694e+01,2.199007793422905893e-02,2.023514032568862753e-02
2.432142862799125282e+01,2.028010316662565843e-02,2.226232680397681116e-02
